Unnamed: 0,DAL,PHI
First Downs,16,23
Rush-Yds-TDs,16-54-0,30-118-1
Cmp-Att-Yd-TD-INT,25-44-265-0-0,31-40-319-1-0
Sacked-Yards,2-8,1-6
Net Pass Yards,257,313
Total Yards,311,431
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,2-20,4-30
Third Down Conv.,3-14,6-14
Fourth Down Conv.,1-2,0-1
Time of Possession,23:48,36:12
