Quarter,Time,Tm,Detail,NYJ,IND
1.0,12:25,Colts,Xavier Rhodes 44 yard interception return (Rodrigo Blankenship kick),0,7
,5:12,Jets,Braxton Berrios 16 yard pass from Sam Darnold (Sam Ficken kick),7,7
2.0,14:13,Colts,Mo Alie-Cox 1 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,14
,8:38,Colts,Rodrigo Blankenship 42 yard field goal,7,17
3.0,5:21,Colts,Jonathan Taylor 1 yard rush (Rodrigo Blankenship kick),7,24
,0:00,Colts,T.J. Carrie 47 yard interception return (Rodrigo Blankenship kick),7,31
4.0,4:50,Colts,"Safety, Sam Darnold sacked in end zone by Justin Houston",7,33
,2:04,Colts,Rodrigo Blankenship 41 yard field goal,7,36
