Unnamed: 0,NYJ,IND
First Downs,15,21
Rush-Yds-TDs,29-109-0,31-119-1
Cmp-Att-Yd-TD-INT,17-29-168-1-3,19-25-234-1-0
Sacked-Yards,2-17,0-0
Net Pass Yards,151,234
Total Yards,260,353
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,7-57,4-40
Third Down Conv.,3-12,3-10
Fourth Down Conv.,0-1,1-1
Time of Possession,29:52,30:08
