Quarter,Time,Down,ToGo,Location,NYJ,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 63 yards, returned by Josh Malone for 19 yards (tackle by T.J. Carrie)",0.000,0.340
1,14:54,1,10,NYJ 21,0,0,Sam Darnold left end for 2 yards (tackle by Anthony Walker),0.340,0.070
1,14:25,2,8,NYJ 23,0,0,Frank Gore up the middle for -1 yards (tackle by Grover Stewart),0.070,-0.760
1,13:47,3,9,NYJ 22,0,0,"Sam Darnold pass incomplete short left intended for Braxton Berrios. Penalty on Kenny Moore: Defensive Pass Interference, 10 yards (no play)",-0.760,1.070
1,13:43,1,10,NYJ 32,0,0,Sam Darnold up the middle for 2 yards (tackle by Grover Stewart and DeForest Buckner),1.070,0.800
1,13:09,2,8,NYJ 34,0,0,Frank Gore right guard for 2 yards (tackle by Anthony Walker),0.800,0.370
1,12:35,3,6,NYJ 36,0,6,"Sam Darnold pass short left intended for Lawrence Cager is intercepted by Xavier Rhodes at NYJ-44 and returned for 44 yards, touchdown",0.370,-7.000
1,12:25,,,NYJ 15,0,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,12:25,,,IND 35,0,7,"Rigoberto Sanchez kicks off 62 yards, returned by Josh Malone for 9 yards (tackle by George Odum)",0.000,-0.350
1,12:20,1,10,NYJ 12,0,7,Sam Darnold pass complete short middle to Frank Gore for 5 yards (tackle by Bobby Okereke),-0.350,-0.230
1,11:47,2,5,NYJ 17,0,7,Frank Gore left end for 9 yards (tackle by Anthony Walker),-0.230,0.670
1,11:11,1,10,NYJ 26,0,7,Sam Darnold pass incomplete deep left intended for Ryan Griffin (defended by Darius Leonard),0.670,0.130
1,11:04,2,10,NYJ 26,0,7,Sam Darnold pass complete short right to Kalen Ballage for 21 yards (tackle by Khari Willis),0.130,2.060
1,10:24,1,10,NYJ 47,0,7,Frank Gore right tackle for 7 yards (tackle by T.J. Carrie and Khari Willis),2.060,2.460
1,9:47,2,3,IND 46,0,7,Sam Darnold pass complete short left to Chris Herndon for 3 yards (tackle by Bobby Okereke),2.460,2.720
1,9:11,1,10,IND 43,0,7,Frank Gore right tackle for 2 yards (tackle by Khari Willis),2.720,2.450
1,8:32,2,8,IND 41,0,7,La'Mical Perine up the middle for 2 yards (tackle by Khari Willis and Darius Leonard),2.450,2.010
1,7:53,3,6,IND 39,0,7,Sam Darnold right end for 6 yards (tackle by Kenny Moore),2.010,3.380
1,7:13,1,10,IND 33,0,7,Sam Darnold pass complete short right to Kalen Ballage for 4 yards (tackle by Isaiah Rodgers),3.380,3.380
1,6:42,2,6,IND 29,0,7,Sam Darnold pass incomplete short right,3.380,2.680
1,6:35,3,6,IND 29,0,7,Sam Darnold pass complete short left to Braxton Berrios for 11 yards (tackle by Xavier Rhodes),2.680,4.370
1,6:02,,,,,,Timeout #1 by New York Jets,,
1,6:02,1,10,IND 18,0,7,Frank Gore left guard for 2 yards (tackle by DeForest Buckner and Darius Leonard),4.370,4.090
1,5:23,2,8,IND 16,6,7,"Sam Darnold pass complete deep right to Braxton Berrios for 16 yards, touchdown",4.090,7.000
1,5:12,,,IND 15,7,7,Sam Ficken kicks extra point good,0.000,0.000
1,5:12,,,NYJ 35,7,7,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
1,5:12,1,10,IND 25,7,7,Jonathan Taylor left end for 1 yard (tackle by Quinnen Williams and Marcus Maye),0.610,0.200
1,4:42,2,9,IND 26,7,7,Philip Rivers pass complete short left to T.Y. Hilton for 10 yards (tackle by Blessuan Austin),0.200,1.330
1,4:04,1,10,IND 36,7,7,Philip Rivers pass complete deep right to Zach Pascal for 20 yards (tackle by Bradley McDougald),1.330,2.650
1,3:28,1,10,NYJ 44,7,7,Jonathan Taylor up the middle for 2 yards (tackle by Tarell Basham),2.650,2.380
1,2:50,2,8,NYJ 42,7,7,Jonathan Taylor left tackle for 2 yards (tackle by John Franklin-Myers and Avery Williamson),2.380,1.950
1,2:09,3,6,NYJ 40,7,7,Philip Rivers pass complete short left to Michael Pittman for 9 yards (tackle by Bradley McDougald),1.950,3.510
1,1:33,1,10,NYJ 31,7,7,Nyheim Hines left guard for 11 yards (tackle by Blessuan Austin),3.510,4.240
1,0:58,1,10,NYJ 20,7,7,Nyheim Hines right end for 3 yards (tackle by Marcus Maye and Avery Williamson),4.240,4.120
1,0:24,2,7,NYJ 17,7,7,Jonathan Taylor up the middle for 12 yards (tackle by Bradley McDougald),4.120,6.060
Quarter,Time,Down,ToGo,Location,NYJ,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,NYJ 5,7,7,Jonathan Taylor right guard for 1 yard (tackle by Bradley McDougald and Marcus Maye),6.060,5.340
2,14:20,2,4,NYJ 4,7,7,"Philip Rivers pass incomplete short right intended for T.Y. Hilton. Penalty on Pierre Desir: Defensive Pass Interference, 3 yards (no play)",5.340,6.970
2,14:16,1,1,NYJ 1,7,13,"Philip Rivers pass complete short right to Mo Alie-Cox for 1 yard, touchdown",6.970,7.000
2,14:13,,,NYJ 15,7,14,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,14:13,,,IND 35,7,14,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,14:13,1,10,NYJ 25,7,14,Sam Darnold pass complete short middle to Lawrence Cager for 19 yards (tackle by Julian Blackmon),0.610,1.860
2,13:39,1,10,NYJ 44,7,14,La'Mical Perine left end for 3 yards (tackle by DeForest Buckner and Darius Leonard),1.860,1.720
2,13:06,2,7,NYJ 47,7,14,Sam Darnold sacked by Kenny Moore for -11 yards,1.720,-0.430
2,12:21,3,18,NYJ 36,7,14,Sam Darnold pass complete short middle to Kalen Ballage for 8 yards (tackle by Darius Leonard),-0.430,-0.460
2,11:41,4,10,NYJ 44,7,14,"Braden Mann punts 45 yards, returned by Nyheim Hines for 12 yards (tackle by Ryan Griffin and Neville Hewitt)",-0.460,-0.480
2,11:29,1,10,IND 23,7,14,Philip Rivers pass incomplete deep left intended for Zach Pascal,0.480,-0.070
2,11:24,2,10,IND 23,7,14,Philip Rivers pass complete deep middle to Mo Alie-Cox for 45 yards (tackle by Neville Hewitt and Bradley McDougald),-0.070,3.450
2,10:42,1,10,NYJ 32,7,14,Nyheim Hines right tackle for 4 yards (tackle by Kyle Phillips and Avery Williamson),3.450,3.440
2,9:59,2,6,NYJ 28,7,14,Jonathan Taylor right end for 3 yards (tackle by Neville Hewitt and Tarell Basham),3.440,3.140
2,9:27,3,3,NYJ 25,7,14,Jonathan Taylor up the middle for 1 yard (tackle by Blessuan Austin),3.140,1.990
2,8:43,4,2,NYJ 24,7,17,Rodrigo Blankenship 42 yard field goal good,1.990,3.000
2,8:38,,,IND 35,7,17,"Rigoberto Sanchez kicks off 64 yards, returned by Josh Malone for 40 yards (tackle by Jordan Glasgow)",0.000,1.660
2,8:32,1,10,NYJ 41,7,17,Sam Darnold pass complete short right to Chris Herndon for 9 yards (tackle by Khari Willis),1.660,2.340
2,8:00,2,1,NYJ 50,7,17,Frank Gore up the middle for 2 yards (tackle by Ben Banogu),2.340,2.390
2,7:19,1,10,IND 48,7,17,Sam Darnold pass incomplete deep right intended for Chris Hogan,2.390,1.850
2,7:15,2,10,IND 48,7,17,Sam Darnold pass complete deep right to Braxton Berrios for 28 yards (tackle by Tavon Wilson),1.850,4.240
2,6:49,1,10,IND 20,7,17,Frank Gore right tackle for 8 yards (tackle by Darius Leonard and Khari Willis),4.240,5.040
2,6:10,2,2,IND 12,7,17,Frank Gore left tackle for 5 yards (tackle by Darius Leonard),5.040,5.600
