Unnamed: 0,DAL,LAC
First Downs,20,18
Rush-Yds-TDs,26-96-1,23-53-0
Cmp-Att-Yd-TD-INT,21-30-272-1-0,22-37-227-2-1
Sacked-Yards,5-26,1-8
Net Pass Yards,246,219
Total Yards,342,272
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,11-85,9-79
Third Down Conv.,5-13,5-14
Fourth Down Conv.,1-2,1-2
Time of Possession,29:52,30:08
