Unnamed: 0,BAL,CLE
First Downs,24,13
Rush-Yds-TDs,55-290-2,17-59-0
Cmp-Att-Yd-TD-INT,10-23-158-0-0,18-36-196-1-1
Sacked-Yards,1-0,3-22
Net Pass Yards,158,174
Total Yards,448,233
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,4-18,3-37
Third Down Conv.,9-19,3-14
Fourth Down Conv.,1-2,1-1
Time of Possession,37:34,22:26
