Quarter,Time,Tm,Detail,BAL,CLE
2.0,13:17,Ravens,Ray Rice 6 yard rush (Billy Cundiff kick),7,0
,0:13,Ravens,Billy Cundiff 21 yard field goal,10,0
3.0,5:55,Browns,Phil Dawson 21 yard field goal,10,3
,4:56,Ravens,Ricky Williams 1 yard rush (Billy Cundiff kick),17,3
4.0,6:58,Ravens,Lardarius Webb 68 yard punt return (Billy Cundiff kick),24,3
,4:22,Browns,Evan Moore 22 yard pass from Colt McCoy (Phil Dawson kick),24,10
