Unnamed: 0,NOR,CHI
First Downs,25,16
Rush-Yds-TDs,26-83-1,20-125-0
Cmp-Att-Yd-TD-INT,29-36-375-3-0,17-31-194-2-3
Sacked-Yards,2-15,7-41
Net Pass Yards,360,153
Total Yards,443,278
Fumbles-Lost,2-1,1-0
Turnovers,1,3
Penalties-Yards,3-25,9-74
Third Down Conv.,4-11,2-12
Fourth Down Conv.,0-0,0-2
Time of Possession,33:31,26:29
