Unnamed: 0,TAM,CAR
First Downs,16,20
Rush-Yds-TDs,31-100-1,19-39-0
Cmp-Att-Yd-TD-INT,16-25-208-1-0,25-51-333-0-0
Sacked-Yards,3-19,3-20
Net Pass Yards,189,313
Total Yards,289,352
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,12-66,5-50
Third Down Conv.,2-12,3-14
Fourth Down Conv.,0-0,0-3
Time of Possession,33:53,26:07
