Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2,12:47,4,19,CAR 25,3,3,"Michael Palardy punts 53 yards, returned by Bobo Wilson for 10 yards (tackle by Michael Palardy). Penalty on Jamel Dean: Illegal Block Above the Waist, 10 yards",-1.700,-0.410
2,12:32,1,10,TAM 22,3,3,"Penalty on Demar Dotson: False Start, 5 yards (no play)",0.410,-0.120
2,12:32,1,15,TAM 17,3,3,Ronald Jones up the middle for -2 yards (tackle by Gerald McCoy),-0.120,-1.210
2,11:51,2,17,TAM 15,3,3,Jameis Winston pass complete short left to Chris Godwin for 8 yards (tackle by Luke Kuechly and Tre Boston),-1.210,-0.690
2,11:13,3,9,TAM 23,3,3,"Penalty on Donovan Smith: False Start, 5 yards (no play)",-0.690,-1.490
2,10:52,3,14,TAM 18,3,3,Jameis Winston sacked by Brian Burns for no gain,-1.490,-2.240
2,10:06,4,14,TAM 18,3,3,"Bradley Pinion punts 63 yards, returned by Ray-Ray McCloud for 39 yards (tackle by Zach Triner)",-2.240,-2.790
2,9:55,1,10,TAM 42,3,3,Cam Newton pass complete short left to Greg Olsen for 16 yards (tackle by Jordan Whitehead),2.790,3.840
2,9:15,1,10,TAM 26,3,3,Cam Newton pass incomplete short middle intended for Jarius Wright,3.840,3.300
2,9:11,2,10,TAM 26,3,3,Cam Newton pass complete short left to D.J. Moore for 7 yards (tackle by Vernon Hargreaves),3.300,3.570
2,8:34,3,3,TAM 19,3,3,Cam Newton pass incomplete short left intended for D.J. Moore (defended by Carlton Davis),3.570,2.280
2,8:30,4,3,TAM 19,3,6,Joey Slye 37 yard field goal good,2.280,3.000
2,8:26,,,CAR 35,3,6,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,8:26,1,10,TAM 25,3,6,Jameis Winston pass complete short left to Peyton Barber for 7 yards (tackle by Luke Kuechly),0.610,1.010
2,7:48,2,3,TAM 32,3,6,Peyton Barber right tackle for 7 yards (tackle by Brian Burns),1.010,1.530
