Quarter,Time,Tm,Detail,TAM,CAR
1.0,5:36,Buccaneers,Matt Gay 40 yard field goal,3,0
,2:52,Panthers,Joey Slye 32 yard field goal,3,3
2.0,8:26,Panthers,Joey Slye 37 yard field goal,3,6
,1:20,Buccaneers,Chris Godwin 20 yard pass from Jameis Winston (Matt Gay kick),10,6
,0:00,Panthers,Joey Slye 54 yard field goal,10,9
3.0,7:51,Panthers,Joey Slye 51 yard field goal,10,12
,4:20,Buccaneers,Peyton Barber 16 yard rush (Matt Gay kick),17,12
4.0,13:21,Panthers,"Safety, Peyton Barber tackled in end zone by Luke Kuechly",17,14
,2:26,Buccaneers,Matt Gay 32 yard field goal,20,14
