Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 69 yards, returned by Onterrio Smith for 20 yards (tackle by Kerry Carter)",0.000,0.340
1,14:54,1,10,MIN 21,0,0,Daunte Culpepper pass complete to D'Wayne Bates for 5 yards (tackle by Ken Lucas),0.340,0.480
1,14:20,2,5,MIN 26,0,0,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Marcus Trufant),0.480,1.140
1,13:58,1,10,MIN 33,0,0,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Chad Brown),1.140,1.540
1,13:43,2,3,MIN 40,0,0,Michael Bennett left tackle for 2 yards (tackle by Chad Brown),1.540,1.090
1,13:06,3,1,MIN 42,0,0,Moe Williams left guard for 3 yards (tackle by Chike Okeafor and Isaiah Kacyvenski),1.090,1.930
1,12:34,1,10,MIN 45,0,0,Michael Bennett right guard for 6 yards (tackle by Ken Hamlin and Randall Godfrey),1.930,2.190
1,12:00,2,4,SEA 49,0,0,"Michael Bennett left end for 2 yards. Michael Bennett fumbles, recovered by Michael Bennett at MIN-45",2.190,1.750
1,11:21,3,2,SEA 47,0,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Chad Brown),1.750,0.130
1,11:17,4,2,SEA 47,0,0,"Eddie Johnson punts 28 yards, fair catch by Bobby Engram",0.130,-0.150
1,11:08,1,10,SEA 19,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 19 yards (tackle by Brian Russell),0.150,1.470
1,10:40,1,10,SEA 38,0,0,"Shaun Alexander up the middle for 9 yards (tackle by Nick Rogers). Shaun Alexander fumbles (forced by Nick Rogers), recovered by Chuck Wiley at tm_-50",1.470,-2.260
1,10:31,1,10,MIN 50,0,0,Michael Bennett up the middle for 5 yards (tackle by Chad Brown),2.260,2.390
1,9:59,2,5,SEA 45,0,0,"Penalty on Hunter Goodwin: False Start, 5 yards (no play)",2.390,1.710
1,9:41,2,10,MIN 50,0,0,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Ken Hamlin),1.710,1.950
1,8:56,3,3,SEA 43,0,0,Daunte Culpepper pass complete to Randy Moss for 13 yards,1.950,3.580
1,8:42,1,10,SEA 30,0,0,Michael Bennett up the middle for no gain (tackle by D.D. Lewis),3.580,3.030
1,8:06,2,10,SEA 30,0,0,Daunte Culpepper pass incomplete intended for Nate Burleson,3.030,2.340
1,8:01,3,10,SEA 30,0,0,Daunte Culpepper pass complete to D'Wayne Bates for 8 yards (tackle by Marcus Trufant),2.340,2.120
1,7:21,4,2,SEA 22,0,0,Aaron Elling 40 yard field goal no good,2.120,-0.940
1,7:16,1,10,SEA 30,0,0,Matt Hasselbeck pass complete to Mack Strong for -1 yards (tackle by Corey Chavous),0.940,0.260
1,6:43,2,11,SEA 29,0,0,Matt Hasselbeck pass incomplete intended for Itula Mili,0.260,-0.430
1,6:38,3,11,SEA 29,0,0,Matt Hasselbeck sacked by Brian Williams for -9 yards,-0.430,-2.030
1,6:09,4,20,SEA 20,0,0,"Tom Rouen punts 47 yards, returned by Keenan Howry for 1 yard (tackle by Alex Bannister)",-2.030,-1.200
1,5:57,1,10,MIN 34,0,0,"Penalty on Sean Berton: False Start, 5 yards (no play)",1.200,0.870
1,5:57,1,15,MIN 29,0,0,Michael Bennett up the middle for 5 yards (tackle by Anton Palepoi and Rashad Moore),0.870,0.660
1,5:31,,,,0,0,Timeout #1 by Seattle Seahawks,0.000,0.660
1,5:31,2,10,MIN 34,0,0,Michael Bennett right end for 18 yards (tackle by Ken Hamlin),0.660,2.390
1,5:07,1,10,SEA 48,0,0,Daunte Culpepper pass incomplete intended for Moe Williams,2.390,1.850
1,5:03,2,10,SEA 48,0,0,Michael Bennett right tackle for 2 yards (tackle by Chad Brown and Ken Lucas),1.850,1.420
1,4:27,3,8,SEA 46,0,0,Daunte Culpepper sacked by Chike Okeafor for -2 yards,1.420,0.070
1,3:56,4,10,SEA 48,0,0,"Eddie Johnson punts 35 yards, fair catch by Bobby Engram",0.070,0.320
1,3:49,1,10,SEA 13,0,0,Shaun Alexander right end for 1 yard (tackle by Greg Biekert and Chris Claiborne),-0.320,-0.680
1,3:12,2,9,SEA 14,0,0,Matt Hasselbeck pass complete to Bobby Engram for 18 yards (tackle by Ken Irvin),-0.680,1.070
1,2:34,1,10,SEA 32,0,0,Shaun Alexander left end for 1 yard (tackle by Brian Russell and Ken Irvin),1.070,0.660
1,2:01,2,9,SEA 33,0,0,"Penalty on Mack Strong: False Start, 5 yards (no play)",0.660,-0.010
1,1:32,2,14,SEA 28,0,0,"Penalty on Matt Hasselbeck: Delay of Game, 5 yards (no play)",-0.010,-0.690
1,1:12,2,19,SEA 23,0,0,Shaun Alexander up the middle for 15 yards (tackle by Brian Williams),-0.690,0.630
1,0:35,3,4,SEA 38,0,0,Matt Hasselbeck pass complete to Bobby Engram for 25 yards (tackle by Corey Chavous),0.630,3.120
Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 37,0,0,Matt Hasselbeck pass incomplete intended for Koren Robinson,3.120,2.570
2,14:56,2,10,MIN 37,0,0,"Shaun Alexander left end for 4 yards (tackle by Kevin Williams). Penalty on Robbie Tobeck: Offensive Holding, 10 yards (no play)",2.570,1.220
2,14:46,2,20,MIN 47,0,0,Matt Hasselbeck pass incomplete intended for Koren Robinson,1.220,0.560
