Unnamed: 0,SEA,MIN
First Downs,13,22
Rush-Yds-TDs,16-56-1,44-193-0
Cmp-Att-Yd-TD-INT,17-34-218-0-2,21-33-274-3-0
Sacked-Yards,3-16,1-2
Net Pass Yards,202,272
Total Yards,258,465
Fumbles-Lost,1-1,4-0
Turnovers,3,0
Penalties-Yards,7-39,5-30
Third Down Conv.,4-12,9-19
Fourth Down Conv.,0-0,1-2
Time of Possession,21:09,38:51
