Quarter,Time,Tm,Detail,SEA,MIN
2.0,13:17,Vikings,Randy Moss 47 yard pass from Daunte Culpepper (Aaron Elling kick),0,7
,3:27,Vikings,Aaron Elling 36 yard field goal,0,10
,0:00,Vikings,Aaron Elling 35 yard field goal,0,13
3.0,12:42,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,13
,9:24,Vikings,Randy Moss 45 yard pass from Daunte Culpepper (Aaron Elling kick),7,20
4.0,14:53,Vikings,Kelly Campbell 43 yard pass from Daunte Culpepper (Aaron Elling kick),7,27
,1:34,Vikings,Mike Nattiel 80 yard interception return (Aaron Elling kick),7,34
