Unnamed: 0,CIN,MIA
First Downs,28,15
Rush-Yds-TDs,35-163-2,30-157-1
Cmp-Att-Yd-TD-INT,32-53-338-0-3,20-28-208-0-0
Sacked-Yards,5-36,3-20
Net Pass Yards,302,188
Total Yards,465,345
Fumbles-Lost,1-1,1-1
Turnovers,4,1
Penalties-Yards,3-63,2-25
Third Down Conv.,10-20,3-14
Fourth Down Conv.,1-1,0-0
Time of Possession,40:02,28:20
