Quarter,Time,Tm,Detail,CIN,MIA
2,11:56,Bengals,Mike Nugent 31 yard field goal,3,0
,2:39,Dolphins,Ryan Tannehill 1 yard rush (Caleb Sturgis kick),3,7
,0:06,Dolphins,Caleb Sturgis 36 yard field goal,3,10
3,7:37,Dolphins,Brent Grimes 94 yard interception return (Caleb Sturgis kick),3,17
,2:10,Bengals,Giovani Bernard 3 yard rush (Mike Nugent kick),10,17
4,12:37,Bengals,Giovani Bernard 35 yard rush (Mike Nugent kick),17,17
,1:24,Bengals,Mike Nugent 54 yard field goal,20,17
,0:11,Dolphins,Caleb Sturgis 44 yard field goal,20,20
OT,6:38,Dolphins,"Safety, Andy Dalton sacked in end zone by Cameron Wake.",20,22
