Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Lamar Miller left tackle for 5 yards (tackle by Vincent Rey),0.280,0.410
1,14:26,2,5,MIA 25,0,0,Lamar Miller left end for 5 yards (tackle by Chris Crocker),0.410,0.940
1,13:41,1,10,MIA 30,0,0,Ryan Tannehill pass incomplete short right intended for Marcus Thigpen,0.940,0.390
1,13:38,2,10,MIA 30,0,0,Ryan Tannehill sacked by Geno Atkins for -8 yards,0.390,-1.350
1,13:01,3,18,MIA 22,0,0,Ryan Tannehill pass complete short left to Lamar Miller for 4 yards (tackle by Geno Atkins),-1.350,-1.630
1,12:25,4,14,MIA 26,0,0,"Brandon Fields punts 52 yards, returned by Brandon Tate for 11 yards (tackle by Chris Clemons)",-1.630,-1.140
1,12:12,1,10,CIN 33,0,0,BenJarvus Green-Ellis left tackle for 6 yards (tackle by Dannell Ellerbe),1.140,1.400
1,11:31,2,4,CIN 39,0,0,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Koa Misi and Randy Starks),1.400,0.960
1,10:58,3,2,CIN 41,0,0,BenJarvus Green-Ellis right guard for 1 yard (tackle by Chris Clemons),0.960,-0.590
1,10:36,4,1,CIN 42,0,0,"Kevin Huber punts 50 yards, fair catch by Marcus Thigpen",-0.590,0.380
1,10:29,1,10,MIA 8,0,0,Lamar Miller left tackle for 5 yards (tackle by James Harrison),-0.380,-0.410
1,9:58,2,5,MIA 13,0,0,Lamar Miller up the middle for 6 yards (tackle by Michael Johnson),-0.410,0.150
1,9:23,1,10,MIA 19,0,0,Lamar Miller left guard for 6 yards (tackle by Brandon Thompson),0.150,0.480
1,8:43,2,4,MIA 25,0,0,Daniel Thomas right guard for 3 yards (tackle by George Iloka),0.480,0.100
1,8:03,3,1,MIA 28,0,0,Daniel Thomas left guard for no gain (tackle by Vincent Rey),0.100,-1.500
1,7:27,4,1,MIA 28,0,0,Brandon Fields punts 58 yards,-1.500,0.280
1,7:14,1,10,CIN 14,0,0,Andy Dalton pass complete short left to A.J. Green for 7 yards (tackle by Koa Misi),-0.280,0.280
1,6:32,2,3,CIN 21,0,0,BenJarvus Green-Ellis left guard for 8 yards (tackle by Cameron Wake),0.280,0.870
1,5:59,1,10,CIN 29,0,0,Andy Dalton left end for 2 yards (tackle by Koa Misi),0.870,0.600
1,5:12,2,8,CIN 31,0,0,Andy Dalton pass complete short left to Tyler Eifert for 4 yards (tackle by Dimitri Patterson),0.600,0.430
1,4:31,3,4,CIN 35,0,0,"Andy Dalton sacked by Cameron Wake for -9 yards. Andy Dalton fumbles (forced by Cameron Wake), recovered by Cameron Wake at CIN-25 (tackle by Andre Smith)",0.430,-3.910
1,4:23,1,10,CIN 25,0,0,Daniel Thomas up the middle for 4 yards (tackle by Vontaze Burfict),3.910,3.900
1,3:43,2,6,CIN 21,0,0,Ryan Tannehill pass incomplete deep right intended for Rishard Matthews,3.900,3.200
1,3:38,3,6,CIN 21,0,0,Ryan Tannehill pass complete short right to Lamar Miller for 5 yards (tackle by Reggie Nelson),3.200,2.530
1,2:58,4,1,CIN 16,0,0,Caleb Sturgis 34 yard field goal no good,2.530,-0.540
1,2:53,1,10,CIN 24,0,0,Andy Dalton pass complete short middle to Marvin Jones for 8 yards (tackle by Dimitri Patterson),0.540,1.080
1,2:22,2,2,CIN 32,0,0,Giovani Bernard left tackle for 7 yards (tackle by Philip Wheeler),1.080,1.530
1,1:38,1,10,CIN 39,0,0,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Dannell Ellerbe),1.530,0.990
1,1:33,2,10,CIN 39,0,0,Giovani Bernard left tackle for no gain (tackle by Olivier Vernon),0.990,0.300
1,0:52,3,10,CIN 39,0,0,Andy Dalton pass complete short right to A.J. Green for 17 yards (tackle by Brent Grimes),0.300,2.650
1,0:11,1,10,MIA 44,0,0,Andy Dalton pass incomplete short left intended for Marvin Jones,2.650,2.110
1,0:05,2,10,MIA 44,0,0,Andy Dalton pass incomplete short middle intended for Jermaine Gresham,2.110,1.420
1,0:02,3,10,MIA 44,0,0,Andy Dalton pass complete deep middle to A.J. Green for 18 yards (tackle by Philip Wheeler),1.420,3.840
Quarter,Time,Down,ToGo,Location,CIN,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 26,0,0,Giovani Bernard left tackle for 9 yards (tackle by Dimitri Patterson),3.840,4.640
2,14:30,2,1,MIA 17,0,0,Andy Dalton pass complete short left to Mohamed Sanu for 2 yards (tackle by Dimitri Patterson),4.640,4.580
2,13:55,1,10,MIA 15,0,0,Andy Dalton pass complete short middle to Giovani Bernard for 2 yards (tackle by Dannell Ellerbe),4.580,4.280
2,13:19,2,8,MIA 13,0,0,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Philip Wheeler),4.280,4.450
2,12:37,3,3,MIA 8,0,0,Andy Dalton sacked by Cameron Wake for -5 yards,4.450,2.570
2,12:01,4,8,MIA 13,3,0,Mike Nugent 31 yard field goal good,2.570,3.000
2,12:01,,,CIN 35,3,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,11:56,1,10,MIA 20,3,0,Ryan Tannehill pass incomplete short right intended for Mike Wallace (defended by Terence Newman),0.280,-0.270
2,11:53,2,10,MIA 20,3,0,Lamar Miller left end for 10 yards (tackle by Vontaze Burfict),-0.270,0.940
2,11:23,1,10,MIA 30,3,0,Ryan Tannehill pass complete short right to Michael Egnew for 13 yards (tackle by Vincent Rey),0.940,1.800
2,10:45,1,10,MIA 43,3,0,Ryan Tannehill pass complete short right to Mike Wallace for 5 yards (tackle by Carlos Dunlap),1.800,1.930
2,10:09,2,5,MIA 48,3,0,Lamar Miller right end for 41 yards (tackle by Carlos Dunlap). Lamar Miller fumbles (forced by Carlos Dunlap) and returned for 43 yards (tackle by Ryan Tannehill),1.930,-1.660
2,9:48,1,10,CIN 41,3,0,BenJarvus Green-Ellis up the middle for 1 yard (tackle by Chris Clemons),1.660,1.260
2,9:11,2,9,CIN 42,3,0,Andy Dalton pass complete short left to Tyler Eifert for 5 yards (tackle by Koa Misi),1.260,1.220
2,8:43,3,4,CIN 47,3,0,Andy Dalton pass incomplete short right intended for A.J. Green,1.220,-0.260
2,8:38,4,4,CIN 47,3,0,"Kevin Huber punts 46 yards, out of bounds",-0.260,0.380
2,8:30,1,10,MIA 7,3,0,Daniel Thomas left guard for 6 yards,-0.380,-0.340
2,7:59,2,4,MIA 13,3,0,Daniel Thomas left end for 3 yards (tackle by Michael Johnson),-0.340,-0.370
2,7:19,3,1,MIA 16,3,0,Charles Clay up the middle for 13 yards (tackle by George Iloka). Penalty on Michael Johnson: Defensive Offside (Declined),-0.370,0.870
2,6:36,1,10,MIA 29,3,0,--,0.870,0.730
2,6:13,2,7,MIA 32,3,0,Ryan Tannehill pass complete deep middle to Mike Wallace for 40 yards,0.730,3.710
2,5:25,1,10,CIN 28,3,0,Daniel Thomas up the middle for 6 yards (tackle by Vontaze Burfict),3.710,3.980
2,4:45,2,4,CIN 22,3,0,Lamar Miller left guard for 3 yards (tackle by Wallace Gilberry),3.980,3.720
2,4:17,3,1,CIN 19,3,0,Ryan Tannehill pass complete short right to Daniel Thomas for 4 yards (tackle by Terence Newman),3.720,4.580
2,3:46,1,10,CIN 15,3,0,Daniel Thomas left guard for 5 yards (tackle by Vincent Rey),4.580,4.840
2,3:04,2,5,CIN 10,3,0,Daniel Thomas up the middle for 9 yards (tackle by Reggie Nelson),4.840,6.970
2,2:40,1,1,CIN 1,3,6,"Ryan Tannehill right guard for 1 yard, touchdown",6.970,7.000
2,2:40,,,CIN 2,3,7,Caleb Sturgis kicks extra point good,0.000,0.000
2,2:40,,,MIA 35,3,7,"Caleb Sturgis kicks off 74 yards, touchback",0.000,-0.280
2,2:39,1,10,CIN 20,3,7,Andy Dalton pass incomplete short right intended for A.J. Green,0.280,-0.270
2,2:35,2,10,CIN 20,3,7,Andy Dalton pass incomplete short left intended for Jermaine Gresham (defended by Dannell Ellerbe),-0.270,-0.960
2,2:31,3,10,CIN 20,3,7,Andy Dalton pass complete deep left to Marvin Jones for 26 yards (tackle by Dimitri Patterson),-0.960,1.990
2,2:00,1,10,CIN 46,3,7,Andy Dalton pass complete short right to Giovani Bernard for 7 yards (tackle by Brent Grimes),1.990,2.400
2,1:31,2,3,MIA 47,3,7,Andy Dalton pass incomplete deep left intended for A.J. Green,2.400,1.690
2,1:26,3,3,MIA 47,3,7,Andy Dalton pass incomplete deep left intended for Dane Sanzenbacher,1.690,0.130
2,1:21,4,3,MIA 47,3,7,"Kevin Huber punts 33 yards, fair catch by Marcus Thigpen",0.130,0.280
2,1:14,1,10,MIA 14,3,7,Lamar Miller left tackle for no gain (tackle by Vincent Rey),-0.280,-0.280
2,1:07,1,10,MIA 14,3,7,Timeout #1 by Cincinnati Bengals,-0.280,-0.750
2,1:07,2,10,MIA 14,3,7,Lamar Miller right end for 1 yard (tackle by Brandon Thompson),-0.750,-0.750
2,1:01,2,10,MIA 14,3,7,Timeout #2 by Cincinnati Bengals,-0.750,-1.280
2,1:01,3,9,MIA 15,3,7,Lamar Miller left tackle for 7 yards (tackle by Reggie Nelson),-1.280,-1.280
2,0:55,3,9,MIA 15,3,7,Timeout #3 by Cincinnati Bengals,-1.280,-1.900
2,0:55,4,2,MIA 22,3,7,"Brandon Fields punts 54 yards, returned by Brandon Tate for 6 yards (tackle by R.J. Stanford). Penalty on Shawn Williams: Illegal Blindside Block, 15 yards",-1.900,0.220
2,0:45,1,10,CIN 15,3,7,Andy Dalton pass complete short left to A.J. Green for 10 yards (tackle by Chris Clemons),-0.220,0.610
2,0:39,1,10,CIN 25,3,7,Andy Dalton pass complete short right to Andrew Hawkins for 10 yards (tackle by Jimmy Wilson),0.610,1.270
