Unnamed: 0,MIA,IND
First Downs,14,26
Rush-Yds-TDs,25-113-1,26-118-0
Cmp-Att-Yd-TD-INT,17-25-204-2-0,31-38-347-3-2
Sacked-Yards,1-3,1-10
Net Pass Yards,201,337
Total Yards,314,455
Fumbles-Lost,2-1,2-1
Turnovers,1,3
Penalties-Yards,10-75,7-52
Third Down Conv.,4-11,4-12
Fourth Down Conv.,0-0,2-2
Time of Possession,28:06,31:54
