#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,MIA 25,6,2:38,75,Touchdown
2,1,9:37,MIA 25,8,4:33,32,Punt
3,1,3:33,IND 47,5,2:46,8,Punt
4,2,14:53,MIA 34,3,2:16,3,Punt
5,2,10:16,MIA 11,3,2:43,8,Punt
6,2,1:44,MIA 25,2,0:44,75,Touchdown
7,2,0:53,MIA 40,1,0:07,5,Fumble
8,2,0:36,MIA 6,1,0:36,-1,End of Half
9,3,13:32,IND 42,8,4:18,31,Field Goal
10,3,3:31,MIA 38,9,4:55,62,Touchdown
11,4,8:26,MIA 25,3,0:43,-5,Punt
12,4,4:25,MIA 6,3,1:47,4,Punt
