Quarter,Time,Tm,Detail,MIA,IND
1.0,12:22,Dolphins,Kenyan Drake 33 yard pass from Ryan Tannehill (Jason Sanders kick),7,0
,9:37,Colts,Eric Ebron 14 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
2.0,1:44,Colts,Jack Doyle 1 yard pass from Andrew Luck (Adam Vinatieri kick),7,14
,1:00,Dolphins,Leonte Carroo 74 yard pass from Ryan Tannehill (Jason Sanders kick),14,14
3.0,9:14,Dolphins,Jason Sanders 29 yard field goal,17,14
4.0,13:36,Dolphins,Kenyan Drake 14 yard rush (Jason Sanders kick),24,14
,8:26,Colts,Adam Vinatieri 46 yard field goal,24,17
,4:25,Colts,Eric Ebron 12 yard pass from Andrew Luck (Adam Vinatieri kick),24,24
,0:00,Colts,Adam Vinatieri 32 yard field goal,24,27
