Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
1,1:21,2,10,NYG 11,0,0,Eli Manning pass complete short right to Sterling Shepard for 12 yards (tackle by Desmond Trufant),-0.780,0.480
1,0:51,1,10,NYG 23,0,0,Saquon Barkley left tackle for 1 yard (tackle by Foyesade Oluokun and Grady Jarrett),0.480,0.070
1,0:04,2,9,NYG 24,0,0,Eli Manning pass complete short right to Saquon Barkley for 11 yards (tackle by Foyesade Oluokun),0.070,1.270
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 35,0,0,Saquon Barkley right end for 3 yards (tackle by Foyesade Oluokun and Terrell McClain),1.270,1.130
2,14:30,2,7,NYG 38,0,0,Evan Engram left end for 10 yards (tackle by Kemal Ishmael),1.130,2.130
2,13:51,1,10,NYG 48,0,0,"Penalty on Odell Beckham: False Start, 5 yards (no play)",2.130,1.800
2,13:28,1,15,NYG 43,0,0,Eli Manning pass complete short left to Saquon Barkley for 2 yards (tackle by De'Vondre Campbell),1.800,1.180
2,12:51,2,13,NYG 45,0,0,Eli Manning sacked by Jack Crawford for -8 yards,1.180,-0.560
2,12:06,3,21,NYG 37,0,0,Eli Manning pass complete short right to Evan Engram for 7 yards (tackle by Foyesade Oluokun and Brian Poole),-0.560,-0.460
2,11:25,4,14,NYG 44,0,0,"Zak DeOssie aborted snap, recovered by Riley Dixon at NYG-30 Riley Dixon punts 31 yards downed by Nathan Stupar",-0.460,-0.610
2,11:15,1,10,ATL 25,0,0,Tevin Coleman right end for -1 yards (tackle by Josh Mauro and Damon Harrison),0.610,-0.070
2,10:34,2,11,ATL 24,0,0,Ito Smith right guard for 3 yards (tackle by Tae Davis and Landon Collins),-0.070,-0.360
2,9:57,3,8,ATL 27,0,0,Matt Ryan pass complete short left to Julio Jones for 10 yards (tackle by Alec Ogletree and B.W. Webb),-0.360,1.400
2,9:13,1,10,ATL 37,0,0,"Penalty on Wes Schweitzer: False Start, 5 yards (no play)",1.400,1.070
2,8:55,1,15,ATL 32,0,0,Matt Ryan pass complete short left to Tevin Coleman for no gain (tackle by Olivier Vernon),1.070,0.180
2,8:12,2,15,ATL 32,0,0,Matt Ryan pass incomplete short right intended for Calvin Ridley (defended by Kerry Wynn),0.180,-0.490
2,8:09,3,15,ATL 32,0,0,Matt Ryan pass complete short middle to Julio Jones for 8 yards (tackle by Eli Apple),-0.490,-0.720
2,7:36,4,7,ATL 40,0,0,"Matthew Bosher punts 39 yards, returned by Quadree Henderson for 21 yards (tackle by Justin Bethel)",-0.720,-1.730
2,7:24,1,10,NYG 42,0,0,Saquon Barkley left tackle for no gain (tackle by Bruce Carter),1.730,1.190
2,6:41,2,10,NYG 42,0,0,Eli Manning pass incomplete deep middle intended for Odell Beckham,1.190,0.500
2,6:37,3,10,NYG 42,0,0,Eli Manning sacked by Takkarist McKinley for -8 yards,0.500,-1.110
2,6:00,4,18,NYG 34,0,0,"Riley Dixon punts 52 yards, fair catch by Justin Hardy at ATL-14",-1.110,0.280
2,5:52,1,10,ATL 14,0,0,Tevin Coleman right end for 3 yards (tackle by Damon Harrison),-0.280,-0.370
2,5:29,2,7,ATL 17,0,0,Matt Ryan pass complete deep left to Austin Hooper for 36 yards (tackle by Curtis Riley),-0.370,2.460
2,5:00,1,10,NYG 47,0,6,"Matt Ryan pass complete deep middle to Marvin Hall for 47 yards, touchdown",2.460,7.000
2,4:51,,,NYG 15,0,7,Giorgio Tavecchio kicks extra point good,0.000,0.000
2,4:51,,,ATL 35,0,7,"Matthew Bosher kicks off 69 yards, returned by Quadree Henderson for no gain (tackle by Sharrod Neasman) Penalty on NYG: Unnecessary Roughness, 10 yards",0.000,-0.380
2,4:46,1,10,NYG 10,0,7,Saquon Barkley left guard for 2 yards (tackle by Deadrin Senat and Terrell McClain),-0.380,-0.630
2,4:06,2,8,NYG 12,0,7,Eli Manning pass incomplete short left intended for Saquon Barkley,-0.630,-1.190
2,4:02,3,8,NYG 12,0,7,Eli Manning pass complete short left to Odell Beckham for 26 yards (tackle by Brian Poole and Damontae Kazee),-1.190,1.470
2,3:32,1,10,NYG 38,0,7,Saquon Barkley right tackle for -1 yards (tackle by Damontae Kazee),1.470,0.790
2,2:50,2,11,NYG 37,0,7,Eli Manning pass complete short right to Saquon Barkley for 10 yards (tackle by Grady Jarrett and Desmond Trufant),0.790,1.420
2,2:05,3,1,NYG 47,0,7,Elijhaa Penny left guard for 2 yards (tackle by Brooks Reed and Derrick Shelby),1.420,2.190
2,2:00,1,10,NYG 49,0,7,Eli Manning pass complete deep left to Sterling Shepard for 38 yards (tackle by Robert Alford),2.190,4.710
2,1:32,1,10,ATL 13,0,7,Eli Manning pass complete short right to Rhett Ellison for 4 yards (tackle by Duke Riley and Brian Poole),4.710,4.770
2,1:07,2,6,ATL 9,0,7,Eli Manning pass incomplete short right intended for Odell Beckham,4.770,3.880
2,1:03,,,,,,Timeout #1 by New York Giants,,
2,1:03,3,6,ATL 9,0,7,Eli Manning sacked by Grady Jarrett for -4 yards,3.880,2.570
2,0:54,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:54,4,10,ATL 13,3,7,Aldrick Rosas 31 yard field goal good,2.570,3.000
2,0:50,,,NYG 35,3,7,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
2,0:50,1,10,ATL 25,3,7,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Janoris Jenkins),0.610,0.060
2,0:42,2,10,ATL 25,3,7,Matt Ryan pass complete short right to Julio Jones for 15 yards (tackle by Michael Thomas),0.060,1.600
2,0:29,,,,,,Timeout #2 by New York Giants,,
2,0:29,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:29,1,10,ATL 40,3,7,"Matt Ryan pass incomplete deep right intended for Julio Jones. Penalty on Michael Thomas: Defensive Pass Interference, 38 yards (no play)",1.600,4.110
2,0:23,1,10,NYG 22,3,7,Matt Ryan pass incomplete deep right intended for Austin Hooper,4.110,3.560
2,0:19,2,10,NYG 22,3,7,Matt Ryan pass incomplete deep left intended for Julio Jones,3.560,2.870
2,0:14,3,10,NYG 22,3,7,Matt Ryan pass incomplete deep right intended for Julio Jones,2.870,1.990
2,0:08,,,,,,Timeout #3 by New York Giants,,
2,0:08,4,10,NYG 22,3,10,Giorgio Tavecchio 40 yard field goal good,1.990,3.000
2,0:03,,,ATL 35,3,10,"Matthew Bosher kicks off 62 yards, returned by Quadree Henderson for no gain (tackle by Russell Gage)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,3,10,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,3,10,Saquon Barkley left end for 10 yards (tackle by Takkarist McKinley),0.610,1.270
3,14:34,1,10,NYG 35,3,10,Eli Manning pass incomplete short middle,1.270,0.720
3,14:27,2,10,NYG 35,3,10,Saquon Barkley left guard for 2 yards (tackle by Foyesade Oluokun),0.720,0.300
3,13:46,3,8,NYG 37,3,10,Eli Manning pass complete deep left to Sterling Shepard for 53 yards (tackle by Desmond Trufant). Penalty on Robert Alford: Defensive Holding (Declined),0.300,4.910
3,13:19,1,10,ATL 10,3,10,Saquon Barkley left tackle for 2 yards (tackle by Deadrin Senat),4.910,4.570
3,12:39,2,8,ATL 8,3,10,Eli Manning right end for 7 yards (tackle by Damontae Kazee),4.570,5.170
3,12:09,3,1,ATL 1,3,10,Saquon Barkley left end for no gain (tackle by Deadrin Senat and Brooks Reed),5.170,3.550
3,11:44,4,1,ATL 1,3,10,Eli Manning pass incomplete short right intended for Scott Simonson (defended by Damontae Kazee),3.550,0.380
3,11:37,1,10,ATL 2,3,10,Tevin Coleman right guard for 1 yard (tackle by B.J. Hill),-0.380,-0.710
3,10:54,2,9,ATL 3,3,10,Matt Ryan pass complete short middle to Julio Jones for 10 yards (tackle by Landon Collins),-0.710,-0.320
3,10:09,1,10,ATL 13,3,10,Matt Ryan pass incomplete short left,-0.320,-0.770
3,10:05,2,10,ATL 13,3,10,Matt Ryan pass incomplete short left,-0.770,-1.420
3,10:02,3,10,ATL 13,3,10,"Matt Ryan sacked by Mario Edwards for no gain. Penalty on Eli Apple: Defensive Holding, 5 yards (no play)",-1.420,0.040
3,9:47,1,10,ATL 18,3,10,Tevin Coleman right end for no gain (tackle by Dalvin Tomlinson),0.040,-0.490
3,9:03,2,10,ATL 18,3,10,Tevin Coleman left end for 2 yards (tackle by Tae Davis),-0.490,-0.910
3,8:23,3,8,ATL 20,3,10,Matt Ryan pass complete short middle to Ito Smith for 20 yards (tackle by Alec Ogletree),-0.910,1.600
3,7:43,1,10,ATL 40,3,10,Matt Ryan pass complete short right to Justin Hardy for 15 yards (tackle by Curtis Riley),1.600,2.590
3,6:54,1,10,NYG 45,3,10,Matt Ryan pass complete short left to Ricky Ortiz for 7 yards (tackle by Landon Collins),2.590,2.990
3,6:29,2,3,NYG 38,3,10,Ito Smith left guard for 6 yards (tackle by B.J. Goodson),2.990,3.450
3,5:48,1,10,NYG 32,3,10,"Matt Ryan pass complete deep right to Julio Jones for 12 yards (tackle by Janoris Jenkins). Julio Jones fumbles (forced by Janoris Jenkins), recovered by Eli Apple at NYG-20",3.450,-0.280
3,5:39,1,10,NYG 20,3,10,Eli Manning pass complete deep left to Odell Beckham for 51 yards (tackle by Sharrod Neasman). Penalty on Robert Alford: Defensive Holding (Declined),0.280,3.640
3,5:14,1,10,ATL 29,3,10,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Robert Alford),3.640,4.050
3,4:51,2,3,ATL 22,3,10,Saquon Barkley right tackle for 4 yards (tackle by Brooks Reed and Grady Jarrett),4.050,4.370
3,4:06,1,10,ATL 18,3,10,Eli Manning pass incomplete short left intended for Evan Engram,4.370,3.800
3,4:04,2,10,ATL 18,3,10,Eli Manning pass incomplete short left intended for Sterling Shepard,3.800,3.050
3,4:00,3,10,ATL 18,3,10,Eli Manning pass incomplete deep right intended for Sterling Shepard,3.050,2.250
3,3:55,4,10,ATL 18,6,10,Aldrick Rosas 36 yard field goal good,2.250,3.000
3,3:51,,,NYG 35,6,10,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,3:51,1,10,ATL 25,6,10,Matt Ryan pass complete short right to Eric Saubert for 8 yards (tackle by Kareem Martin),0.610,1.140
3,3:13,2,2,ATL 33,6,10,Tevin Coleman left tackle for 2 yards (tackle by B.J. Hill),1.140,1.270
3,2:30,1,10,ATL 35,6,10,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",1.270,0.940
3,2:09,1,15,ATL 30,6,10,Matt Ryan pass complete deep right to Tevin Coleman for 32 yards (tackle by Curtis Riley),0.940,3.050
3,1:39,1,10,NYG 38,6,10,Matt Ryan pass complete short right to Mohamed Sanu for 5 yards (tackle by Landon Collins),3.050,3.180
3,0:57,2,5,NYG 33,6,10,Ito Smith left guard for no gain (tackle by Landon Collins),3.180,2.480
3,0:18,3,5,NYG 33,6,10,Matt Ryan pass complete short left to Calvin Ridley for 1 yard (tackle by Landon Collins),2.480,1.270
Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,NYG 32,6,13,Giorgio Tavecchio 50 yard field goal good,1.270,3.000
4,14:55,,,ATL 35,6,13,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
4,14:55,1,10,NYG 25,6,13,Odell Beckham left end for -1 yards (tackle by Duke Riley),0.610,-0.070
4,14:24,2,11,NYG 24,6,13,Eli Manning pass complete short left to Evan Engram for 9 yards (tackle by Takkarist McKinley),-0.070,0.430
4,13:45,3,2,NYG 33,6,13,Eli Manning pass complete short right to Saquon Barkley for -8 yards (tackle by Brian Poole),0.430,-1.700
4,13:08,4,10,NYG 25,6,13,"Riley Dixon punts 40 yards, fair catch by Justin Hardy at ATL-35",-1.700,-1.270
4,13:01,1,10,ATL 35,6,13,Matt Ryan pass complete short left to Ito Smith for 9 yards (tackle by B.J. Hill),1.270,1.940
4,12:21,2,1,ATL 44,6,13,Matt Ryan pass complete short right to Ricky Ortiz for no gain (tackle by Alec Ogletree and Dalvin Tomlinson),1.940,1.220
4,11:30,3,1,ATL 44,6,13,Matt Ryan left guard for 2 yards (tackle by Connor Barwin),1.220,1.990
4,10:53,1,10,ATL 46,6,13,Ito Smith right guard for 1 yard (tackle by Dalvin Tomlinson),1.990,1.590
4,10:08,2,9,ATL 47,6,13,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Janoris Jenkins),1.590,1.690
4,9:24,3,3,NYG 47,6,13,Matt Ryan pass complete short middle to Calvin Ridley for 8 yards (tackle by Janoris Jenkins),1.690,2.980
4,8:56,1,10,NYG 39,6,13,Ito Smith right guard for 2 yards (tackle by Olivier Vernon),2.980,2.710
4,8:32,2,8,NYG 37,6,13,Matt Ryan pass complete short left to Marvin Hall for 7 yards (tackle by Janoris Jenkins),2.710,2.940
4,7:55,3,1,NYG 30,6,19,"Tevin Coleman right tackle for 30 yards, touchdown",2.940,7.000
4,7:47,,,NYG 15,6,20,Giorgio Tavecchio kicks extra point good,0.000,0.000
4,7:47,,,ATL 35,6,20,"Matthew Bosher kicks off 68 yards, returned by Quadree Henderson for no gain (tackle by Bruce Carter)",0.000,0.410
4,7:40,1,10,NYG 22,6,20,Eli Manning pass complete short left to Saquon Barkley for 9 yards (tackle by Jack Crawford and Robert Alford),0.410,1.080
4,7:07,2,1,NYG 31,6,20,Saquon Barkley right tackle for 15 yards (tackle by Desmond Trufant),1.080,1.990
4,6:41,1,10,NYG 46,6,20,Eli Manning pass complete short right to Bennie Fowler for 11 yards (tackle by Sharrod Neasman),1.990,2.720
4,6:04,,,,,,Timeout #1 by Atlanta Falcons,,
4,6:04,1,10,ATL 43,6,20,Eli Manning pass complete short right to Saquon Barkley for 14 yards (tackle by Vic Beasley),2.720,3.640
4,5:39,1,10,ATL 29,6,20,Eli Manning pass incomplete short right intended for Sterling Shepard,3.640,3.100
4,5:33,2,10,ATL 29,6,20,Eli Manning pass complete short right to Odell Beckham for 11 yards,3.100,4.370
4,5:02,1,10,ATL 18,6,20,Eli Manning pass incomplete deep right intended for Odell Beckham,4.370,3.800
4,4:58,2,10,ATL 18,6,20,Eli Manning pass complete deep right to Odell Beckham for 16 yards (tackle by Desmond Trufant),3.800,6.740
4,4:52,1,2,ATL 2,12,20,"Saquon Barkley right guard for 2 yards, touchdown",6.740,7.000
4,4:47,,,ATL 2,12,20,"Two Point Attempt: Eli Manning pass incomplete intended for Odell Beckham, conversion fails",0.000,-1.000
4,4:47,,,NYG 35,12,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
4,4:47,1,10,ATL 25,12,20,Matt Ryan pass complete short middle to Julio Jones for 19 yards (tackle by Eli Apple),0.610,1.860
4,3:58,1,10,ATL 44,12,20,Tevin Coleman left end for -4 yards (tackle by Janoris Jenkins),1.860,0.780
4,3:53,2,14,ATL 40,12,20,Matt Ryan pass complete short right to Calvin Ridley for 5 yards (tackle by Eli Apple),0.780,0.760
4,3:40,,,,,,Timeout #1 by New York Giants,,
4,3:40,3,9,ATL 45,12,20,Matt Ryan pass complete short right to Calvin Ridley for 10 yards (tackle by Eli Apple),0.760,2.590
4,3:27,,,,,,Timeout #2 by New York Giants,,
4,3:27,1,10,NYG 45,12,20,Matt Ryan pass complete short left to Justin Hardy for 9 yards (tackle by Alec Ogletree),2.590,3.260
4,3:15,,,,,,Timeout #3 by New York Giants,,
4,3:15,2,1,NYG 36,12,20,"Penalty on Austin Hooper: False Start, 5 yards (no play)",3.260,2.580
4,3:15,2,6,NYG 41,12,20,Ito Smith right guard for 5 yards (tackle by Dalvin Tomlinson),2.580,2.540
4,2:35,3,1,NYG 36,12,20,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",2.540,1.880
4,2:35,3,6,NYG 41,12,20,Matt Ryan pass complete short right to Austin Hooper for 3 yards (tackle by Curtis Riley),1.880,0.720
4,2:00,4,3,NYG 38,12,23,Giorgio Tavecchio 56 yard field goal good,0.720,3.000
4,1:55,,,ATL 35,12,23,"Matthew Bosher kicks off 60 yards, returned by Quadree Henderson for no gain (tackle by Isaiah Oliver)",0.000,0.810
4,1:49,1,10,NYG 28,12,23,Eli Manning pass complete deep left to Sterling Shepard for 58 yards (tackle by Sharrod Neasman),0.810,4.650
4,1:40,1,10,ATL 14,12,23,Eli Manning pass incomplete short right intended for Evan Engram,4.650,4.000
4,1:36,2,10,ATL 14,12,23,Eli Manning pass complete short right to Sterling Shepard for 6 yards (tackle by Desmond Trufant),4.000,4.280
4,1:11,3,4,ATL 8,12,23,Eli Manning pass complete short right to Rhett Ellison for 7 yards (tackle by De'Vondre Campbell),4.280,6.970
4,0:45,1,1,ATL 1,12,23,Eli Manning left guard for no gain (tackle by Damontae Kazee and Takkarist McKinley),6.970,5.910
4,0:28,2,1,ATL 1,12,23,Eli Manning left guard for no gain (tackle by Bruce Carter and Brian Poole),5.910,5.170
4,0:09,3,1,ATL 1,18,23,"Eli Manning pass complete short left to Odell Beckham for 1 yard, touchdown",5.170,7.000
4,0:05,,,ATL 2,20,23,"Two Point Attempt: Saquon Barkley rushes, conversion succeeds.",0.000,1.000
4,0:05,,,NYG 35,20,23,"Aldrick Rosas kicks onside 42 yards, returned by Julio Jones for no gain",0.000,-0.480
4,0:04,1,10,ATL 23,20,23,Matt Ryan kneels for -1 yards,0.480,-0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
