Unnamed: 0,NYG,ATL
First Downs,21,22
Rush-Yds-TDs,20-61-1,20-67-1
Cmp-Att-Yd-TD-INT,27-38-399-1-0,31-39-379-1-0
Sacked-Yards,4-27,3-23
Net Pass Yards,372,356
Total Yards,433,423
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,4-58,5-29
Third Down Conv.,5-12,7-13
Fourth Down Conv.,0-1,0-0
Time of Possession,27:43,32:17
