Quarter,Time,Tm,Detail,NYG,ATL
2.0,4:51,Falcons,Marvin Hall 47 yard pass from Matt Ryan (Giorgio Tavecchio kick),0,7
,0:50,Giants,Aldrick Rosas 31 yard field goal,3,7
,0:03,Falcons,Giorgio Tavecchio 40 yard field goal,3,10
3.0,3:51,Giants,Aldrick Rosas 36 yard field goal,6,10
4.0,14:55,Falcons,Giorgio Tavecchio 50 yard field goal,6,13
,7:47,Falcons,Tevin Coleman 30 yard rush (Giorgio Tavecchio kick),6,20
,4:47,Giants,Saquon Barkley 2 yard rush (pass failed),12,20
,1:55,Falcons,Giorgio Tavecchio 56 yard field goal,12,23
,0:05,Giants,Odell Beckham Jr. 1 yard pass from Eli Manning (Saquon Barkley run),20,23
