Unnamed: 0,NYG,PIT
First Downs,14,12
Rush-Yds-TDs,35-83-0,22-95-1
Cmp-Att-Yd-TD-INT,19-32-199-1-0,13-29-189-1-4
Sacked-Yards,0-0,5-35
Net Pass Yards,199,154
Total Yards,282,249
Fumbles-Lost,2-0,3-0
Turnovers,0,4
Penalties-Yards,7-71,8-59
Third Down Conv.,6-17,1-10
Fourth Down Conv.,1-2,0-4
Time of Possession,34:24,25:36
