Quarter,Time,Tm,Detail,NYG,PIT
1.0,11:15,Steelers,Mewelde Moore 32 yard rush (Jeff Reed kick),0,7
,4:39,Giants,John Carney 26 yard field goal,3,7
2.0,10:30,Giants,John Carney 35 yard field goal,6,7
,3:31,Giants,John Carney 25 yard field goal,9,7
3.0,10:00,Steelers,Nate Washington 65 yard pass from Ben Roethlisberger (Jeff Reed kick),9,14
4.0,8:18,Giants,John Carney 24 yard field goal,12,14
,6:48,Giants,"Safety, James Harrison snaps punt out of the end zone.",14,14
,3:07,Giants,Kevin Boss 2 yard pass from Eli Manning (John Carney kick),21,14
