Quarter,Time,Tm,Detail,KAN,MIA
1.0,10:28,Chiefs,Priest Holmes 5 yard rush (Lawrence Tynes kick),7,0
2.0,7:22,Dolphins,Olindo Mare 33 yard field goal,7,3
,1:56,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),14,3
,0:05,Dolphins,Olindo Mare 23 yard field goal,14,6
3.0,14:40,Dolphins,Ronnie Brown 65 yard rush (Olindo Mare kick),14,13
,13:59,Chiefs,Priest Holmes 35 yard rush (Lawrence Tynes kick),21,13
,3:37,Chiefs,Lawrence Tynes 30 yard field goal,24,13
4.0,13:25,Chiefs,Lawrence Tynes 51 yard field goal,27,13
,10:41,Chiefs,Lawrence Tynes 52 yard field goal,30,13
,2:35,Dolphins,Chris Chambers 77 yard pass from Sage Rosenfels (Olindo Mare kick),30,20
