Quarter,Time,Down,ToGo,Location,KAN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 65 yards, returned by Dante Hall for 15 yards (tackle by Sammy Morris)",0.000,0.280
1,14:55,1,10,KAN 20,0,0,Trent Green pass complete to Priest Holmes for 6 yards (tackle by Channing Crowder),0.280,0.540
1,14:31,2,4,KAN 26,0,0,Eddie Kennison right end for 1 yard (tackle by Keith Traylor),0.540,-0.030
1,13:48,3,3,KAN 27,0,0,Trent Green pass complete to Marc Boerigter for 5 yards (tackle by Sam Madison),-0.030,1.070
1,13:05,1,10,KAN 32,0,0,Trent Green pass complete to Chris Horn for 50 yards (tackle by Travis Daniels and Reggie Howard),1.070,4.370
1,12:19,1,10,MIA 18,0,0,Priest Holmes up the middle for 5 yards (tackle by Channing Crowder),4.370,4.610
1,11:43,2,5,MIA 13,0,0,Priest Holmes right end for no gain (tackle by Zach Thomas),4.610,3.820
1,11:10,3,5,MIA 13,0,0,Trent Green pass complete to Tony Gonzalez for 8 yards (tackle by Reggie Howard),3.820,6.060
1,10:34,1,5,MIA 5,6,0,"Priest Holmes left end for 5 yards, touchdown",6.060,7.000
1,,,,MIA 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Lawrence Tynes kicks off 73 yards, returned by Wes Welker for 25 yards (tackle by Gary Stills)",0.000,0.410
1,10:22,1,10,MIA 22,7,0,Marty Booker pass incomplete intended for Chris Chambers,0.410,-0.130
1,10:15,2,10,MIA 22,7,0,Ronnie Brown right tackle for 4 yards (tackle by Patrick Surtain and Greg Wesley),-0.130,-0.290
1,9:36,3,6,MIA 26,7,0,Gus Frerotte pass incomplete intended for Randy McMichael (defended by Jared Allen),-0.290,-1.630
1,9:31,4,6,MIA 26,7,0,"Donnie Jones punts 44 yards, fair catch by Dante Hall",-1.630,-0.940
1,9:22,1,10,KAN 30,7,0,Trent Green pass incomplete intended for Priest Holmes (defended by Kevin Carter),0.940,0.390
1,9:17,2,10,KAN 30,7,0,Priest Holmes up the middle for 4 yards (tackle by Jason Taylor and Zach Thomas),0.390,0.230
1,8:36,3,6,KAN 34,7,0,Trent Green pass incomplete intended for Marc Boerigter,0.230,-1.110
1,8:31,4,6,KAN 34,7,0,"Dustin Colquitt punts 56 yards, returned by Wes Welker for 8 yards (tackle by Gary Stills)",-1.110,-0.040
1,8:18,1,10,MIA 18,7,0,Ronnie Brown left tackle for 12 yards (tackle by Patrick Surtain and Greg Wesley),0.040,0.940
1,7:45,1,10,MIA 30,7,0,Ronnie Brown left tackle for 1 yard (tackle by Derrick Johnson),0.940,0.530
1,7:08,2,9,MIA 31,7,0,Gus Frerotte pass incomplete intended for Ricky Williams,0.530,-0.160
1,7:03,3,9,MIA 31,7,0,Gus Frerotte pass incomplete intended for Marty Booker (defended by Eric Hicks),-0.160,-1.310
1,6:57,4,9,MIA 31,7,0,"Donnie Jones punts 48 yards, fair catch by Dante Hall",-1.310,-0.340
1,6:48,1,10,KAN 21,7,0,Larry Johnson up the middle for 9 yards (tackle by Tebucky Jones and Jason Taylor),0.340,1.020
1,6:11,2,1,KAN 30,7,0,Larry Johnson right tackle for 5 yards (tackle by Zach Thomas and Vonnie Holliday),1.020,1.270
1,5:37,1,10,KAN 35,7,0,Trent Green pass complete to Dante Hall for 9 yards (tackle by Sam Madison),1.270,1.940
1,4:55,2,1,KAN 44,7,0,"Larry Johnson left tackle for 6 yards (tackle by Jeff Zgonina). Penalty on Kris Wilson: Illegal Motion, 5 yards (no play)",1.940,1.260
1,4:32,2,6,KAN 39,7,0,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Tebucky Jones and Lance Schulters),1.260,2.320
1,3:54,1,10,MIA 49,7,0,Larry Johnson up the middle for 5 yards (tackle by Zach Thomas),2.320,2.460
1,3:11,,,,7,0,Timeout #1 by Kansas City Chiefs,0.000,2.460
1,3:11,2,5,MIA 44,7,0,Trent Green pass complete to Eddie Kennison for 6 yards (tackle by Channing Crowder and Zach Thomas),2.460,3.050
1,2:32,1,10,MIA 38,7,0,"Trent Green pass incomplete. Penalty on Trent Green: Intentional Grounding, 10 yards",3.050,1.160
1,2:28,2,20,MIA 48,7,0,Larry Johnson right tackle for 3 yards (tackle by Jeff Zgonina and Matt Roth),1.160,0.890
1,1:44,3,17,MIA 45,7,0,Trent Green pass incomplete intended for Marc Boerigter,0.890,0.270
1,1:35,4,17,MIA 45,7,0,Dustin Colquitt punts 44 yards,0.270,0.380
