Unnamed: 0,KAN,MIN
First Downs,16,16
Rush-Yds-TDs,18-57-0,35-84-0
Cmp-Att-Yd-TD-INT,22-37-282-1-0,17-31-249-1-2
Sacked-Yards,2-11,2-12
Net Pass Yards,271,237
Total Yards,328,321
Fumbles-Lost,1-1,1-0
Turnovers,1,2
Penalties-Yards,8-95,5-50
Third Down Conv.,3-12,6-17
Fourth Down Conv.,0-2,1-1
Time of Possession,26:53,33:07
