Unnamed: 0,DEN,NYG
First Downs,23,28
Rush-Yds-TDs,29-107-2,19-23-1
Cmp-Att-Yd-TD-INT,30-43-307-2-0,28-49-362-1-4
Sacked-Yards,0-0,1-9
Net Pass Yards,307,353
Total Yards,414,376
Fumbles-Lost,2-1,0-0
Turnovers,1,4
Penalties-Yards,13-132,4-16
Third Down Conv.,8-15,1-11
Fourth Down Conv.,0-0,0-1
Time of Possession,28:02,31:58
