Player,Pos
Eli Manning,QB
David Wilson,RB
Hakeem Nicks,WR
Victor Cruz,WR
Brandon Myers,TE
Henry Hynoski,TE
Will Beatty,LT
Kevin Boothe,LG
David Baas,C
Chris Snee,RG
Justin Pugh,RT
Justin Tuck,LDE
Linval Joseph,LDT
Cullen Jenkins,RDT
Mathias Kiwanuka,RDE
Jacquian Williams,SLB
Spencer Paysinger,WLB
Corey Webster,LCB
Prince Amukamara,RCB
Antrel Rolle,SS
Ryan Mundy,FS
Terrell Thomas,DB
