Quarter,Time,Tm,Detail,STL,SEA
1.0,9:57,Seahawks,Michael Robinson 17 yard blocked punt return (Stephen Hauschka kick),0,7
,1:35,Seahawks,Stephen Hauschka 42 yard field goal,0,10
2.0,11:04,Rams,Josh Brown 46 yard field goal,3,10
3.0,12:03,Seahawks,Stephen Hauschka 23 yard field goal,3,13
,1:49,Rams,Josh Brown 29 yard field goal,6,13
,0:06,Seahawks,Doug Baldwin 29 yard pass from Tarvaris Jackson (Stephen Hauschka kick),6,20
4.0,8:27,Seahawks,Stephen Hauschka 48 yard field goal,6,23
,4:39,Rams,Steven Jackson 1 yard rush (Josh Brown kick),13,23
,2:57,Seahawks,Marshawn Lynch 16 yard rush (Stephen Hauschka kick),13,30
