Unnamed: 0,STL,SEA
First Downs,19,21
Rush-Yds-TDs,31-114-1,32-145-1
Cmp-Att-Yd-TD-INT,12-29-193-0-1,21-34-224-1-0
Sacked-Yards,3-26,2-10
Net Pass Yards,167,214
Total Yards,281,359
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,5-30,9-61
Third Down Conv.,3-14,8-16
Fourth Down Conv.,1-3,0-0
Time of Possession,28:31,31:29
