Quarter,Time,Tm,Detail,CHI,ARI
1.0,8:53,Bears,Zackary Bowman 1 yard defensive fumble return (Olindo Mare kick),7,0
,0:37,Cardinals,Jay Feely 49 yard field goal,7,3
2.0,13:12,Bears,Matt Forte 4 yard rush (Olindo Mare kick),14,3
,2:18,Cardinals,Jay Feely 35 yard field goal,14,6
,0:19,Bears,Brandon Marshall 11 yard pass from Jay Cutler (Olindo Mare kick),21,6
3.0,12:39,Bears,Charles Tillman 10 yard interception return (Olindo Mare kick),28,6
4.0,1:46,Cardinals,Justin Bethel 82 yard blocked field goal return (Jay Feely kick),28,13
