Unnamed: 0,CHI,ARI
First Downs,15,15
Rush-Yds-TDs,33-152-1,19-29-0
Cmp-Att-Yd-TD-INT,12-26-146-1-0,28-49-246-0-2
Sacked-Yards,1-1,4-27
Net Pass Yards,145,219
Total Yards,297,248
Fumbles-Lost,2-1,3-1
Turnovers,1,3
Penalties-Yards,2-12,4-25
Third Down Conv.,3-13,3-15
Fourth Down Conv.,0-0,1-2
Time of Possession,28:05,31:55
