Unnamed: 0,NWE,SEA
First Downs,22,18
Rush-Yds-TDs,25-84-1,26-134-0
Cmp-Att-Yd-TD-INT,26-44-268-1-0,20-28-212-3-0
Sacked-Yards,3-8,1-7
Net Pass Yards,260,205
Total Yards,344,339
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,1-15,5-39
Third Down Conv.,10-18,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,33:55,26:05
