Unnamed: 0,HOU,BUF
First Downs,6,26
Rush-Yds-TDs,18-48-0,40-199-2
Cmp-Att-Yd-TD-INT,11-21-87-0-4,21-31-256-2-1
Sacked-Yards,3-26,1-5
Net Pass Yards,61,251
Total Yards,109,450
Fumbles-Lost,2-1,3-0
Turnovers,5,1
Penalties-Yards,10-100,3-30
Third Down Conv.,1-9,5-12
Fourth Down Conv.,1-2,1-2
Time of Possession,21:45,38:15
