Quarter,Time,Tm,Detail,HOU,BUF
1.0,1:58,Bills,Dawson Knox 25 yard pass from Josh Allen (Tyler Bass kick),0,7
2.0,13:05,Bills,Tyler Bass 33 yard field goal,0,10
,7:12,Bills,Tyler Bass 26 yard field goal,0,13
,0:23,Bills,Tyler Bass 21 yard field goal,0,16
3.0,8:45,Bills,Tyler Bass 28 yard field goal,0,19
4.0,13:26,Bills,Dawson Knox 1 yard pass from Josh Allen (Tyler Bass kick),0,26
,10:44,Bills,Zack Moss 4 yard rush (Tyler Bass kick),0,33
,3:36,Bills,Mitchell Trubisky 4 yard rush (Tyler Bass kick),0,40
