Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, touchback.",,
1,15:00,1,10,HOU 25,0,0,"Davis Mills scrambles right end for no gain (tackle by Cameron Lewis). Penalty on Tytus Howard: Offensive Holding, 10 yards (accepted) (no play)",,
1,14:42,1,20,HOU 15,0,0,Phillip Lindsay right guard for 1 yard (tackle by Ed Oliver),,
1,14:03,2,19,HOU 16,0,0,"Davis Mills sacked by. Davis Mills fumbles, recovered by Davis Mills at HOU-7",,
1,13:21,3,28,HOU 7,0,0,David Johnson up the middle for 10 yards (tackle by Tremaine Edmunds and Matt Milano),,
1,12:37,4,18,HOU 17,0,0,Cameron Johnston punts 49 yards downed by Garret Wallow,,
1,12:22,1,10,BUF 34,0,0,Josh Allen pass short middle intended for Stefon Diggs is intercepted by Lonnie Johnson at BUF-45 and returned for 32 yards (tackle by Josh Allen),,
1,12:09,1,10,BUF 13,0,0,Mark Ingram right guard for 3 yards (tackle by Cameron Lewis),,
1,11:34,2,7,BUF 10,0,0,Mark Ingram right guard for 4 yards (tackle by Tremaine Edmunds and Matt Milano),,
1,10:53,3,3,BUF 6,0,0,David Johnson up the middle for no gain (tackle by Jerry Hughes),,
1,10:12,4,3,BUF 6,0,0,Davis Mills pass incomplete short right intended for David Johnson (defended by Jerry Hughes),,
1,10:07,1,10,BUF 6,0,0,Zack Moss up the middle for 2 yards (tackle by Kamu Grugier-Hill),,
1,9:31,2,7,BUF 8,0,0,Zack Moss left guard for 3 yards (tackle by Justin Reid),,
1,8:53,3,5,BUF 11,0,0,Josh Allen pass incomplete short left intended for Stefon Diggs,,
1,8:47,4,5,BUF 11,0,0,"Matt Haack punts 44 yards, returned by Andre Roberts for 6 yards (tackle by Tyler Matakevich and Andre Smith)",,
1,8:33,1,10,BUF 49,0,0,Mark Ingram up the middle for 12 yards (tackle by Jaquan Johnson and Cameron Lewis),,
1,7:54,1,10,BUF 37,0,0,Mark Ingram up the middle for no gain (tackle by Micah Hyde),,
1,7:17,2,10,BUF 37,0,0,Davis Mills pass incomplete deep right intended for Chris Conley (defended by Levi Wallace),,
1,7:09,3,10,BUF 37,0,0,Davis Mills pass short middle intended for Anthony Miller is intercepted by Tremaine Edmunds at BUF-27 and returned for 4 yards (tackle by Brandin Cooks),,
1,7:01,1,10,BUF 31,0,0,Devin Singletary right end for 4 yards (tackle by Charles Omenihu),,
1,6:35,2,5,BUF 35,0,0,Josh Allen pass complete short right to Devin Singletary for 7 yards (tackle by Desmond King),,
1,6:01,1,10,BUF 42,0,0,Devin Singletary left end for 3 yards (tackle by Jaleel Johnson and Tavierre Thomas),,
1,5:24,,,,,,Timeout #1 by Houston Texans,,
1,5:24,2,8,BUF 45,0,0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Terrance Mitchell),,
1,4:44,3,2,HOU 50,0,0,Reggie Gilliam up the middle for 1 yard (tackle by DeMarcus Walker and Christian Kirksey),,
1,3:58,4,1,HOU 49,0,0,Josh Allen left end for 16 yards (tackle by Joe Thomas),,
1,3:19,1,10,HOU 33,0,0,Zack Moss left guard for 8 yards (tackle by Tavierre Thomas and Terrance Mitchell),,
1,2:44,2,1,HOU 25,0,0,Zack Moss right guard for no gain (tackle by Roy Lopez),,
1,2:06,3,2,HOU 25,0,6,"Josh Allen pass complete short middle to Dawson Knox for 25 yards, touchdown",,
1,1:58,,,HOU 15,0,7,Tyler Bass kicks extra point good,,
1,1:59,,,BUF 35,0,7,"Tyler Bass kicks off 63 yards, returned by Andre Roberts for 17 yards (tackle by Siran Neal)",,
1,1:54,1,10,HOU 19,0,7,Davis Mills pass complete short right to Brandin Cooks for 3 yards (tackle by Tremaine Edmunds),,
1,1:20,2,7,HOU 22,0,7,Phillip Lindsay up the middle for -6 yards (tackle by Ed Oliver),,
1,0:40,3,13,HOU 16,0,7,"Davis Mills pass complete short right to Anthony Miller for no gain (tackle by Justin Zimmer). Penalty on Jordan Akins: Offensive Holding, 8 yards (accepted) (no play)",,
1,0:14,3,21,HOU 8,0,7,Davis Mills pass incomplete short left intended for Anthony Miller,,
1,0:08,4,21,HOU 8,0,7,"Cameron Johnston punts 51 yards, returned by Isaiah McKenzie for 9 yards (tackle by A.J. Moore)",,
Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 50,0,7,Josh Allen pass complete deep right to Stefon Diggs for 31 yards (tackle by Lonnie Johnson),,
2,14:43,1,10,HOU 19,0,7,Josh Allen sacked by Whitney Mercilus for -5 yards,,
2,13:58,2,15,HOU 24,0,7,Josh Allen pass complete short middle to Emmanuel Sanders for 9 yards (tackle by Vernon Hargreaves),,
2,13:15,3,7,HOU 15,0,7,Josh Allen pass incomplete short right intended for Dawson Knox,,
2,13:09,4,7,HOU 15,0,10,Tyler Bass 33 yard field goal good,,
2,13:05,,,BUF 35,0,10,"Tyler Bass kicks off 62 yards, returned by Andre Roberts for 18 yards (tackle by Andre Smith). Penalty on A.J. Moore: Offensive Holding, 10 yards (accepted)",,
2,13:00,1,10,HOU 11,0,10,Phillip Lindsay left end for 2 yards (tackle by Tremaine Edmunds),,
2,12:19,2,9,HOU 13,0,10,Rex Burkhead up the middle for -1 yards (tackle by Cameron Lewis),,
2,11:36,3,8,HOU 12,0,10,Davis Mills sacked by Boogie Basham for -10 yards,,
2,10:55,4,19,HOU 2,0,10,"Cameron Johnston punts 43 yards, returned by Isaiah McKenzie for 6 yards (tackle by Terrence Brooks and Neville Hewitt). Penalty on Tyrel Dodson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
2,10:43,1,10,HOU 49,0,10,Josh Allen pass incomplete deep right intended for Dawson Knox,,
2,10:39,2,10,HOU 49,0,10,Zack Moss right end for 17 yards (tackle by Tavierre Thomas and Lonnie Johnson),,
2,9:59,1,10,HOU 32,0,10,Josh Allen pass complete deep left to Emmanuel Sanders for 20 yards (tackle by Lonnie Johnson),,
2,9:20,1,10,HOU 12,0,10,Josh Allen pass complete short left to Dawson Knox for 1 yard (tackle by Jacob Martin and Maliek Collins),,
2,8:39,2,8,HOU 11,0,10,Zack Moss left end for 8 yards (tackle by Lonnie Johnson),,
2,7:58,3,2,HOU 3,0,10,Zack Moss left end for -5 yards (tackle by Kamu Grugier-Hill),,
2,7:17,4,5,HOU 8,0,13,Tyler Bass 26 yard field goal good,,
2,7:12,,,BUF 35,0,13,"Tyler Bass kicks off 58 yards, returned by Andre Roberts for 16 yards (tackle by Jaquan Johnson)",,
2,7:06,1,10,HOU 23,0,13,David Johnson right tackle for 2 yards (tackle by Star Lotulelei),,
2,6:24,2,8,HOU 25,0,13,Davis Mills pass incomplete short left intended for Anthony Miller (defended by Cameron Lewis),,
2,6:19,3,8,HOU 25,0,13,Davis Mills sacked by Star Lotulelei for -7 yards,,
2,5:41,4,15,HOU 18,0,13,"Cameron Johnston punts 61 yards, returned by Isaiah McKenzie for 12 yards (tackle by Tremon Smith). Penalty on Siran Neal: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
2,5:28,1,10,BUF 21,0,13,Josh Allen pass complete deep left to Emmanuel Sanders for 16 yards (tackle by Terrance Mitchell),,
2,4:54,1,10,BUF 37,0,13,Devin Singletary left end for 7 yards (tackle by Justin Reid),,
2,4:22,2,3,BUF 44,0,13,Devin Singletary left tackle for 9 yards (tackle by Christian Kirksey and Lonnie Johnson),,
2,3:52,1,10,HOU 47,0,13,Devin Singletary left tackle for 6 yards (tackle by Christian Kirksey),,
2,3:20,2,4,HOU 41,0,13,Devin Singletary left tackle for 3 yards (tackle by Justin Reid),,
2,2:47,3,1,HOU 38,0,13,"Josh Allen aborted snap, recovered by Josh Allen at HOU-40 and returned for -2 yards Josh Allen for no gain",,
2,2:00,4,3,HOU 40,0,13,Josh Allen pass incomplete short middle intended for Stefon Diggs (defended by Terrance Mitchell),,
2,1:55,1,10,HOU 40,0,13,"Davis Mills scrambles for no gain (tackle by Jaquan Johnson). Penalty on Pharaoh Brown: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
2,1:49,1,25,HOU 25,0,13,Davis Mills pass deep middle (defended by A.J. Klein) intended for Brandin Cooks is intercepted by Micah Hyde at HOU-43 and returned for no gain,,
2,1:40,1,10,HOU 43,0,13,Josh Allen scrambles left end for 8 yards (tackle by Terrance Mitchell),,
2,1:32,2,2,HOU 35,0,13,Devin Singletary left guard for 5 yards (tackle by DeMarcus Walker),,
2,0:57,1,10,HOU 30,0,13,Josh Allen pass complete short right to Cole Beasley for 7 yards (tackle by Desmond King),,
2,0:49,2,4,HOU 23,0,13,"Josh Allen pass complete short left to Emmanuel Sanders for 8 yards (tackle by Lonnie Johnson and Tavierre Thomas). Penalty on Tavierre Thomas: Unnecessary Roughness / Defense, 8 yards (accepted)",,
2,0:43,1,7,HOU 7,0,13,Josh Allen pass incomplete short right intended for Gabriel Davis,,
2,0:36,2,7,HOU 7,0,13,Josh Allen pass complete short middle to Stefon Diggs for 5 yards (tackle by Kamu Grugier-Hill and Christian Kirksey),,
2,0:30,,,,,,Timeout #1 by Buffalo Bills,,
2,0:30,3,2,HOU 2,0,13,Josh Allen pass incomplete short left intended for Zack Moss,,
2,0:26,,,,,,Timeout #2 by Houston Texans,,
2,0:26,,,,,,Timeout #2 by Buffalo Bills,,
2,0:26,4,2,HOU 2,0,16,Tyler Bass 21 yard field goal good,,
2,0:23,,,BUF 35,0,16,"Tyler Bass kicks off 65 yards, touchback.",,
2,0:23,1,10,HOU 25,0,16,Mark Ingram up the middle for 4 yards (tackle by Gregory Rousseau),,
Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,0,16,"Ka'imi Fairbairn kicks off 60 yards, returned by Isaiah McKenzie for 20 yards (tackle by Garret Wallow and Eric Murray)",,
3,14:54,1,10,BUF 25,0,16,Josh Allen pass complete short right to Stefon Diggs for 16 yards (tackle by Kamu Grugier-Hill),,
3,14:11,1,10,BUF 41,0,16,"Devin Singletary right end for 3 yards (tackle by Christian Kirksey). Penalty on Daryl Williams: Offensive Holding, 10 yards (accepted)",,
3,13:54,1,17,BUF 34,0,16,Josh Allen left tackle for 12 yards (tackle by Justin Reid),,
3,13:05,2,5,BUF 46,0,16,Josh Allen pass incomplete short left intended for Dawson Knox,,
3,12:59,3,5,BUF 46,0,16,Josh Allen pass complete deep right to Emmanuel Sanders for 21 yards (tackle by Desmond King),,
3,12:02,1,10,HOU 33,0,16,Zack Moss right end for 7 yards (tackle by Joe Thomas and Jaleel Johnson),,
3,11:21,2,4,HOU 26,0,16,Emmanuel Sanders left end for 7 yards (tackle by Terrence Brooks and Christian Kirksey),,
3,10:36,1,10,HOU 19,0,16,"Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Terrance Mitchell). Penalty on Lonnie Johnson: Unnecessary Roughness / Defense, 10 yards (accepted)",,
3,10:24,1,9,HOU 9,0,16,"Josh Allen pass complete short right to Stefon Diggs for 1 yard. Stefon Diggs fumbles (forced by Terrance Mitchell), recovered by Daryl Williams at HOU-11 (tackle by Justin Reid)",,
3,9:35,2,9,HOU 11,0,16,Zack Moss left end for 1 yard (tackle by Roy Lopez),,
3,8:54,3,10,HOU 10,0,16,Josh Allen pass incomplete short middle intended for Emmanuel Sanders (defended by Christian Kirksey),,
3,8:49,4,2,HOU 10,0,19,Tyler Bass 28 yard field goal good,,
3,8:45,,,BUF 35,0,19,"Tyler Bass kicks off 65 yards, touchback.",,
3,8:45,1,10,HOU 25,0,19,Mark Ingram up the middle for 1 yard (tackle by Tremaine Edmunds and Ed Oliver),,
