Unnamed: 0,JAX,TEN
First Downs,13,19
Rush-Yds-TDs,30-54-2,27-83-1
Cmp-Att-Yd-TD-INT,14-23-180-0-2,26-42-288-2-1
Sacked-Yards,3-20,1-9
Net Pass Yards,160,279
Total Yards,214,362
Fumbles-Lost,3-0,5-3
Turnovers,2,4
Penalties-Yards,4-19,6-45
Third Down Conv.,3-12,10-18
Fourth Down Conv.,0-0,0-0
Time of Possession,29:24,30:36
