Quarter,Time,Tm,Detail,JAX,TEN
1.0,13:29,Jaguars,Maurice Jones-Drew 6 yard rush (Josh Scobee kick),7,0
,6:31,Jaguars,Josh Scobee 32 yard field goal,10,0
2.0,10:47,Jaguars,Josh Scobee 44 yard field goal,13,0
,0:41,Titans,Taylor Thompson 9 yard pass from Ryan Fitzpatrick (Rob Bironas kick),13,7
3.0,10:17,Jaguars,Jordan Todman 5 yard rush (Josh Scobee kick),20,7
,5:15,Titans,Rob Bironas 39 yard field goal,20,10
4.0,12:50,Titans,Rob Bironas 37 yard field goal,20,13
,7:44,Jaguars,"Safety, Chance Warmack called for holding in the end zone.",22,13
,4:15,Titans,Ryan Fitzpatrick 4 yard rush (Rob Bironas kick),22,20
,2:32,Jaguars,Will Blackmon 21 yard defensive fumble return (Josh Scobee kick),29,20
,0:40,Titans,Delanie Walker 14 yard pass from Ryan Fitzpatrick (Rob Bironas kick),29,27
