Unnamed: 0,KAN,PIT
First Downs,24,33
Rush-Yds-TDs,25-127-0,13-33-2
Cmp-Att-Yd-TD-INT,23-28-326-6-0,39-60-452-3-0
Sacked-Yards,1-4,1-10
Net Pass Yards,322,442
Total Yards,449,475
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,12-76,12-90
Third Down Conv.,2-5,3-11
Fourth Down Conv.,0-0,2-2
Time of Possession,27:49,32:11
