Quarter,Time,Tm,Detail,MIN,GNB
1.0,9:28,Vikings,John Avery 11 yard pass from Daunte Culpepper (Aaron Elling kick),7,0
,1:52,Vikings,Aaron Elling 22 yard field goal,10,0
2.0,11:02,Packers,Ryan Longwell 27 yard field goal,10,3
,5:34,Vikings,D'Wayne Bates 2 yard pass from Daunte Culpepper (Aaron Elling kick),17,3
,0:04,Vikings,Aaron Elling 46 yard field goal,20,3
3.0,8:47,Vikings,Randy Moss 13 yard pass from Daunte Culpepper (Aaron Elling kick),27,3
,1:30,Packers,Ahman Green 8 yard rush (Bubba Franks pass from Brett Favre),27,11
4.0,10:07,Vikings,Aaron Elling 34 yard field goal,30,11
,6:27,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),30,18
,1:55,Packers,Javon Walker 24 yard pass from Brett Favre (Ryan Longwell kick),30,25
