Unnamed: 0,MIN,GNB
First Downs,21,22
Rush-Yds-TDs,36-154-0,19-62-2
Cmp-Att-Yd-TD-INT,15-30-195-3-0,25-41-248-1-4
Sacked-Yards,2-12,1-6
Net Pass Yards,183,242
Total Yards,337,304
Fumbles-Lost,2-2,1-1
Turnovers,2,5
Penalties-Yards,7-65,6-60
Third Down Conv.,8-14,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,33:20,26:40
