Unnamed: 0,NWE,DEN
First Downs,12,19
Rush-Yds-TDs,21-59-0,23-83-1
Cmp-Att-Yd-TD-INT,25-33-256-2-0,25-37-238-2-0
Sacked-Yards,2-26,5-45
Net Pass Yards,230,193
Total Yards,289,276
Fumbles-Lost,2-1,4-2
Turnovers,1,2
Penalties-Yards,3-25,2-25
Third Down Conv.,3-13,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:42,31:18
