Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,NWE,12,27,0,1,12,1.0,15,1.3,0,
Kevin Harris,NWE,7,21,0,,4,0.6,17,2.4,0,
Tyquan Thornton,NWE,1,9,0,,4,4.0,5,5.0,0,
Bailey Zappe,NWE,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Javonte Williams,DEN,11,24,1,2,5,0.5,19,1.7,0,
Jaleel McLaughlin,DEN,6,37,0,3,23,3.8,14,2.3,0,
Russell Wilson,DEN,4,20,0,4,14,3.5,6,1.5,0,
Michael Burton,DEN,1,0,0,0,0,0.0,0,0.0,0,
Samaje Perine,DEN,1,2,0,0,0,0.0,2,2.0,0,
