Quarter,Time,Tm,Detail,SEA,STL
1.0,10:11,Rams,Torry Holt 31 yard pass from Marc Bulger (Josh Brown kick),0,7
,6:39,Seahawks,Jordan Babineaux 24 yard defensive fumble return (Olindo Mare kick),7,7
2.0,6:41,Rams,Steven Jackson 6 yard rush (Josh Brown kick),7,14
,3:47,Rams,Josh Brown 36 yard field goal,7,17
3.0,9:53,Seahawks,Olindo Mare 28 yard field goal,10,17
,4:35,Seahawks,Olindo Mare 50 yard field goal,13,17
4.0,11:04,Rams,Josh Brown 48 yard field goal,13,20
,2:47,Seahawks,T.J. Duckett 1 yard rush (Olindo Mare kick),20,20
,0:00,Seahawks,Olindo Mare 27 yard field goal,23,20
