Unnamed: 0,SEA,STL
First Downs,16,18
Rush-Yds-TDs,27-125-1,31-131-1
Cmp-Att-Yd-TD-INT,15-25-226-0-0,20-33-218-1-0
Sacked-Yards,3-18,1-7
Net Pass Yards,208,211
Total Yards,333,342
Fumbles-Lost,2-2,2-2
Turnovers,2,2
Penalties-Yards,5-35,6-40
Third Down Conv.,5-11,3-12
Fourth Down Conv.,0-0,2-2
Time of Possession,26:02,33:58
