Unnamed: 0,CLE,ARI
First Downs,16,24
Rush-Yds-TDs,29-120-1,24-74-1
Cmp-Att-Yd-TD-INT,18-31-226-1-0,28-46-313-1-1
Sacked-Yards,2-13,4-24
Net Pass Yards,213,289
Total Yards,333,363
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,9-74,2-13
Third Down Conv.,5-14,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,31:22,32:42
