Quarter,Time,Tm,Detail,CLE,ARI
1,11:33,Browns,Peyton Hillis 1 yard rush (Phil Dawson kick),7,0
2,11:33,Browns,Phil Dawson 44 yard field goal,10,0
,0:19,Cardinals,Andre Roberts 9 yard pass from John Skelton (Jay Feely kick),10,7
3,3:01,Browns,Greg Little 76 yard pass from Seneca Wallace (Phil Dawson kick),17,7
4,8:33,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),17,14
,5:40,Cardinals,Jay Feely 33 yard field goal,17,17
OT,10:56,Cardinals,Jay Feely 22 yard field goal,17,20
