Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 67 yards, returned by Josh Cribbs for 26 yards (tackle by Early Doucet)",0.000,0.540
1,14:54,1,10,CLE 24,0,0,Peyton Hillis left tackle for 18 yards (tackle by Richard Marshall),0.540,1.730
1,14:20,1,10,CLE 42,0,0,Seneca Wallace pass complete short left to Greg Little for 12 yards (tackle by Richard Marshall and Calais Campbell),1.730,2.520
1,13:49,1,10,ARI 46,0,0,Peyton Hillis left tackle for 12 yards (tackle by Kerry Rhodes and Adrian Wilson),2.520,3.310
1,13:13,1,10,ARI 34,0,0,Peyton Hillis up the middle for 1 yard (tackle by Richard Marshall),3.310,2.910
1,12:37,2,9,ARI 33,0,0,Seneca Wallace pass complete deep right to Mohamed Massaquoi for 29 yards,2.910,6.280
1,12:19,1,4,ARI 4,0,0,Peyton Hillis up the middle for 3 yards (tackle by Calais Campbell and Adrian Wilson),6.280,5.910
1,11:37,2,1,ARI 1,6,0,"Peyton Hillis up the middle for 1 yard, touchdown",5.910,7.000
1,,,,ARI 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 35,7,0,"Phil Dawson kicks off 70 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Kaluka Maiava). Penalty on Jeff King: Illegal Block Above the Waist, 3 yards",0.000,-0.380
1,11:25,1,10,ARI 3,7,0,John Skelton pass complete short left to Andre Roberts for 4 yards (tackle by Chris Gocong),-0.380,-0.490
1,11:11,2,6,ARI 7,7,0,LaRod Stephens-Howling left tackle for 5 yards (tackle by D'Qwell Jackson and Jayme Mitchell),-0.490,-0.370
1,10:33,3,1,ARI 12,7,0,Chris Wells left tackle for 4 yards (tackle by Ahtyba Rubin),-0.370,-0.140
1,9:54,1,10,ARI 16,7,0,John Skelton pass incomplete short right intended for Andre Roberts (defended by Sheldon Brown),-0.140,-0.660
1,9:48,2,10,ARI 16,7,0,Chris Wells right end for 2 yards (tackle by D'Qwell Jackson),-0.660,-1.070
1,9:16,3,8,ARI 18,7,0,John Skelton pass incomplete short right intended for Chester Taylor,-1.070,-2.240
1,9:11,4,8,ARI 18,7,0,"Dave Zastudil punts 52 yards, returned by Josh Cribbs for 24 yards (tackle by Rashad Johnson)",-2.240,-2.520
1,8:58,1,10,ARI 46,7,0,Seneca Wallace pass incomplete short left intended for Jordan Norwood,2.520,1.980
1,8:55,2,10,ARI 46,7,0,Peyton Hillis right tackle for 6 yards (tackle by Michael Adams),1.980,2.080
1,8:13,3,4,ARI 40,7,0,Seneca Wallace pass incomplete deep left intended for Jordan Norwood (defended by Kerry Rhodes),2.080,0.590
1,8:13,4,4,ARI 40,7,0,Brad Maynard punts 30 yards,0.590,0.380
1,7:58,1,10,ARI 10,7,0,Chris Wells up the middle for 5 yards (tackle by D'Qwell Jackson),-0.380,-0.350
1,7:25,2,5,ARI 15,7,0,John Skelton pass incomplete short right intended for Andre Roberts,-0.350,-0.840
1,7:21,3,5,ARI 15,7,0,John Skelton pass complete short middle to Larry Fitzgerald for 10 yards (tackle by Dimitri Patterson),-0.840,0.610
1,6:41,1,10,ARI 25,7,0,Chester Taylor left tackle for no gain (tackle by Ahtyba Rubin and Dimitri Patterson),0.610,0.060
1,6:02,2,10,ARI 25,7,0,John Skelton pass complete short left to Chris Wells for 10 yards (tackle by Jabaal Sheard),0.060,1.270
1,5:25,1,10,ARI 35,7,0,Chris Wells left tackle for -1 yards (tackle by Kaluka Maiava),1.270,0.590
1,4:45,2,11,ARI 34,7,0,John Skelton pass incomplete deep left intended for Larry Fitzgerald,0.590,-0.100
1,4:39,3,11,ARI 34,7,0,John Skelton pass complete short right to Todd Heap for 9 yards (tackle by D'Qwell Jackson),-0.100,-0.520
1,4:02,4,2,ARI 43,7,0,"Dave Zastudil punts 57 yards, touchback",-0.520,-0.280
1,3:52,1,10,CLE 20,7,0,Seneca Wallace pass complete short right to Alex Smith for 9 yards (tackle by Adrian Wilson),0.280,0.950
1,3:16,2,1,CLE 29,7,0,Peyton Hillis up the middle for 2 yards (tackle by Paris Lenon),0.950,1.000
1,2:32,1,10,CLE 31,7,0,Seneca Wallace pass complete short left to Chris Ogbonnaya for 3 yards (tackle by Calais Campbell),1.000,0.870
1,1:50,2,7,CLE 34,7,0,Peyton Hillis up the middle for 2 yards (tackle by Clark Haggans and Darnell Dockett),0.870,0.430
1,1:05,3,5,CLE 36,7,0,Seneca Wallace pass complete short right to Jordan Norwood for 6 yards (tackle by Michael Adams). Penalty on Michael Adams: Defensive Holding (Declined),0.430,1.730
1,0:49,1,10,CLE 42,7,0,Seneca Wallace pass incomplete deep right intended for Greg Little,1.730,1.190
1,0:39,2,10,CLE 42,7,0,Peyton Hillis left tackle for 6 yards (tackle by Daryl Washington),1.190,1.290
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,CLE 48,7,0,Seneca Wallace up the middle for 7 yards (tackle by Richard Marshall),1.290,2.590
2,14:18,1,10,ARI 45,7,0,Seneca Wallace pass complete short right to Jordan Cameron for 8 yards (tackle by Clark Haggans),2.590,3.120
2,13:46,2,2,ARI 37,7,0,Peyton Hillis up the middle for 1 yard (tackle by Adrian Wilson),3.120,2.540
2,13:03,,,,7,0,Timeout #1 by Cleveland Browns,0.000,2.540
2,13:03,3,1,ARI 36,7,0,Peyton Hillis left tackle for 2 yards (tackle by Clark Haggans),2.540,3.310
2,12:18,1,10,ARI 34,7,0,Seneca Wallace pass incomplete short right intended for Jordan Norwood (defended by Richard Marshall),3.310,2.770
2,12:12,2,10,ARI 34,7,0,Seneca Wallace pass incomplete short left intended for Greg Little,2.770,2.080
2,12:07,3,10,ARI 34,7,0,Seneca Wallace pass complete short right to Jordan Norwood for 8 yards (tackle by Patrick Peterson),2.080,1.860
,,,,,,,"ARI challenged the incomplete pass ruling, and the play was upheld.",,
2,11:38,4,2,ARI 26,10,0,Phil Dawson 44 yard field goal good,1.860,3.000
2,,,,CLE 35,10,0,"Phil Dawson kicks off 69 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Josh Cribbs)",0.000,0.410
2,11:25,1,10,ARI 22,10,0,Chris Wells left tackle for 7 yards (tackle by Kaluka Maiava),0.410,0.810
2,10:46,2,3,ARI 29,10,0,Chris Wells left tackle for 5 yards (tackle by D'Qwell Jackson),0.810,1.200
2,10:09,1,10,ARI 34,10,0,John Skelton pass complete short middle to Anthony Sherman for 6 yards (tackle by D'Qwell Jackson),1.200,1.470
2,9:31,2,4,ARI 40,10,0,LaRod Stephens-Howling left tackle for -1 yards (tackle by Chris Gocong),1.470,0.630
2,8:50,3,5,ARI 39,10,0,John Skelton pass complete short left to Chansi Stuckey for 7 yards (tackle by Eric Hagg),0.630,1.990
2,8:13,1,10,ARI 46,10,0,Alfonso Smith up the middle for no gain (tackle by Chris Gocong),1.990,1.450
2,7:35,2,10,ARI 46,10,0,John Skelton pass complete short right to Early Doucet for 6 yards (tackle by Chris Gocong),1.450,1.550
2,6:53,3,4,CLE 48,10,0,John Skelton sacked by Jabaal Sheard for -8 yards,1.550,-0.460
2,6:23,4,12,ARI 44,10,0,"Dave Zastudil punts 41 yards, returned by Josh Cribbs for no gain. Penalty on Quinton Spears: Defensive Holding, 7 yards",-0.460,0.380
2,6:13,1,10,CLE 8,10,0,Peyton Hillis up the middle for 6 yards (tackle by O'Brien Schofield and Adrian Wilson),-0.380,-0.320
2,5:41,2,4,CLE 14,10,0,Peyton Hillis left tackle for 5 yards (tackle by Daryl Washington),-0.320,0.150
2,5:04,1,10,CLE 19,10,0,Peyton Hillis up the middle for 3 yards (tackle by Daryl Washington and Kerry Rhodes),0.150,0.070
2,4:22,2,7,CLE 22,10,0,Seneca Wallace pass complete short right to Jordan Norwood for 7 yards (tackle by A.J. Jefferson),0.070,0.870
2,3:23,1,10,CLE 29,10,0,"Penalty on Alex Smith: False Start, 5 yards (no play)",0.870,0.540
2,3:01,1,15,CLE 24,10,0,Peyton Hillis up the middle for 1 yard (tackle by Richard Marshall),0.540,-0.210
2,2:19,2,14,CLE 25,10,0,Seneca Wallace pass complete short left to Josh Cribbs for 3 yards (tackle by Paris Lenon),-0.210,-0.490
2,2:00,3,11,CLE 28,10,0,Seneca Wallace pass incomplete short left intended for Peyton Hillis,-0.490,-1.500
2,1:56,4,11,CLE 28,10,0,Brad Maynard punts 37 yards,-1.500,-1.270
2,1:49,1,10,ARI 35,10,0,John Skelton pass complete short left to Todd Heap for 7 yards (tackle by Chris Gocong and Sheldon Brown),1.270,1.670
2,1:33,2,3,ARI 42,10,0,John Skelton pass incomplete short left intended for Larry Fitzgerald (defended by Dimitri Patterson),1.670,0.960
2,1:28,3,3,ARI 42,10,0,John Skelton pass complete short middle to Todd Heap for 18 yards (tackle by Mike Adams),0.960,2.920
2,1:28,1,10,CLE 40,10,0,John Skelton pass complete short right to Todd Heap for 7 yards (tackle by Usama Young),2.920,3.320
2,1:00,2,3,CLE 33,10,0,John Skelton pass complete short right to Chester Taylor for 10 yards (tackle by D'Qwell Jackson),3.320,4.040
2,0:51,,,,10,0,Timeout #2 by Arizona Cardinals,0.000,4.040
2,0:51,1,10,CLE 23,10,0,John Skelton pass incomplete deep right intended for Early Doucet (defended by Mike Adams),4.040,3.500
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:46,2,10,CLE 23,10,0,John Skelton pass complete short middle to Chester Taylor for 11 yards (tackle by D'Qwell Jackson),3.500,4.780
2,0:28,1,10,CLE 12,10,0,Chester Taylor up the middle for 3 yards (tackle by D'Qwell Jackson and Phil Taylor),4.780,4.640
2,0:25,,,,10,0,Timeout #3 by Arizona Cardinals,0.000,4.640
2,0:25,2,7,CLE 9,10,6,"John Skelton pass complete short right to Andre Roberts for 9 yards, touchdown",4.640,7.000
2,,,,CLE 2,10,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,ARI 35,10,7,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
2,0:19,1,10,CLE 20,10,7,Seneca Wallace kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,7,"Phil Dawson kicks off 70 yards, returned by LaRod Stephens-Howling for 24 yards (tackle by Kaluka Maiava)",0.000,0.150
3,14:56,1,10,ARI 19,10,7,John Skelton pass incomplete deep left intended for Todd Heap,0.150,-0.390
3,14:51,2,10,ARI 19,10,7,Chris Wells left tackle for 8 yards (tackle by Mike Adams),-0.390,-0.030
3,14:07,3,2,ARI 27,10,7,"John Skelton pass incomplete short left intended for Andre Roberts (defended by Sheldon Brown). Penalty on Sheldon Brown: Defensive Pass Interference, 4 yards (no play)",-0.030,1.000
3,14:03,1,10,ARI 31,10,7,Andre Roberts left end for 7 yards (tackle by Phil Taylor),1.000,1.410
3,13:21,2,3,ARI 38,10,7,Chris Wells right end for -3 yards (tackle by Kaluka Maiava),1.410,0.300
3,12:35,3,6,ARI 35,10,7,John Skelton pass incomplete deep left intended for Todd Heap,0.300,-1.040
3,12:27,4,6,ARI 35,10,7,"Dave Zastudil punts 53 yards, returned by Josh Cribbs for 16 yards (tackle by Mike Leach)",-1.040,-0.810
3,12:15,1,10,CLE 28,10,7,Seneca Wallace pass complete short right to Mohamed Massaquoi for 6 yards (tackle by Richard Marshall),0.810,1.070
3,11:54,2,4,CLE 34,10,7,Peyton Hillis left tackle for 3 yards (tackle by Kerry Rhodes),1.070,0.760
3,11:17,3,1,CLE 37,10,7,"Seneca Wallace pass complete short left to Peyton Hillis for 15 yards. Penalty on Alex Smith: Offensive Pass Interference, 10 yards (no play)",0.760,-0.560
3,10:44,3,11,CLE 27,10,7,Seneca Wallace pass complete short right to Greg Little for 10 yards (tackle by Adrian Wilson),-0.560,-0.910
3,10:17,4,1,CLE 37,10,7,"Brad Maynard punts 44 yards, returned by Patrick Peterson for 4 yards (tackle by Mike Adams). Penalty on Nick Eason: Offensive Holding, 10 yards",-0.910,0.380
3,10:07,1,10,ARI 10,10,7,Chris Wells right tackle for 3 yards (tackle by Brian Sanford),-0.380,-0.560
3,9:27,2,7,ARI 13,10,7,John Skelton up the middle for 3 yards (tackle by Kaluka Maiava),-0.560,-0.720
3,8:46,3,4,ARI 16,10,7,John Skelton pass complete short right to LaRod Stephens-Howling for 11 yards (tackle by Chris Gocong and Joe Haden),-0.720,0.740
3,8:21,1,10,ARI 27,10,7,John Skelton pass complete deep middle to Jeff King for 24 yards (tackle by Usama Young),0.740,2.320
3,7:43,1,10,CLE 49,10,7,Chris Wells left tackle for 4 yards (tackle by Ahtyba Rubin),2.320,2.320
3,7:09,2,6,CLE 45,10,7,John Skelton sacked by Chris Gocong for -1 yards,2.320,1.490
3,6:36,3,7,CLE 46,10,7,John Skelton pass incomplete deep right intended for Larry Fitzgerald,1.490,0.200
3,6:30,4,7,CLE 46,10,7,"Dave Zastudil punts 34 yards, fair catch by Josh Cribbs",0.200,0.350
3,6:22,1,10,CLE 12,10,7,Peyton Hillis left tackle for 7 yards (tackle by Sam Acho),-0.350,0.100
3,5:48,2,3,CLE 19,10,7,Seneca Wallace pass complete short right to Jordan Cameron for 2 yards (tackle by Clark Haggans),0.100,-0.370
3,4:46,3,1,CLE 21,10,7,Peyton Hillis left tackle for 1 yard (tackle by Sam Acho),-0.370,0.410
3,4:07,1,10,CLE 22,10,7,Seneca Wallace pass incomplete deep right intended for Mohamed Massaquoi,0.410,-0.130
3,4:02,2,10,CLE 22,10,7,Peyton Hillis up the middle for 2 yards (tackle by Daryl Washington and Paris Lenon),-0.130,-0.560
3,3:15,3,8,CLE 24,16,7,"Seneca Wallace pass complete deep right to Greg Little for 76 yards, touchdown",-0.560,7.000
3,,,,ARI 2,17,7,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 35,17,7,"Phil Dawson kicks off 67 yards, returned by LaRod Stephens-Howling for 37 yards (tackle by Eric Hagg). Penalty on Kaluka Maiava: Face Mask (15 Yards), 15 yards",0.000,2.260
3,2:53,1,10,,17,7,Chris Wells right tackle for 8 yards (tackle by Kaluka Maiava),2.260,2.790
3,2:18,2,2,CLE 42,17,7,John Skelton pass complete short right to Andre Roberts for 9 yards (tackle by Buster Skrine),2.790,3.380
3,1:50,1,10,CLE 33,17,7,Chris Wells right tackle for 4 yards (tackle by Scott Paxson and D'Qwell Jackson),3.380,3.380
3,1:13,2,6,CLE 29,17,7,John Skelton pass incomplete short left intended for Early Doucet is intercepted by Buster Skrine at CLE-25 and returned for 5 yards (tackle by Early Doucet),3.380,-0.940
3,1:04,1,10,CLE 30,17,7,Peyton Hillis up the middle for 5 yards (tackle by Paris Lenon),0.940,1.070
3,0:31,2,5,CLE 35,17,7,Seneca Wallace pass complete short left to Peyton Hillis for 9 yards (tackle by Paris Lenon and Kerry Rhodes),1.070,1.860
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 44,17,7,Seneca Wallace pass complete short right to Mohamed Massaquoi for 7 yards (tackle by Patrick Peterson),1.860,2.260
4,14:21,2,3,ARI 49,17,7,Seneca Wallace pass complete short right to Jordan Cameron for -2 yards (tackle by Kerry Rhodes),2.260,1.290
4,13:34,,,,17,7,Timeout #1 by Cleveland Browns,0.000,1.290
4,13:34,3,5,CLE 49,17,7,Seneca Wallace pass incomplete short right intended for Peyton Hillis,1.290,-0.130
4,13:30,4,5,CLE 49,17,7,"Brad Maynard punts 38 yards, fair catch by Patrick Peterson",-0.130,0.320
4,13:22,1,10,ARI 13,17,7,John Skelton pass complete short right to Early Doucet for 11 yards (tackle by D'Qwell Jackson and Joe Haden),-0.320,0.540
4,12:47,1,10,ARI 24,17,7,John Skelton sacked by Chris Gocong for -9 yards,0.540,-1.350
4,12:15,2,19,ARI 15,17,7,John Skelton pass complete short left to Larry Fitzgerald for 23 yards (tackle by Joe Haden),-1.350,1.470
4,11:41,1,10,ARI 38,17,7,John Skelton pass incomplete short right intended for Early Doucet,1.470,0.920
4,11:38,2,10,ARI 38,17,7,John Skelton pass complete short middle to Todd Heap for 7 yards (tackle by D'Qwell Jackson),0.920,1.160
4,10:58,3,3,ARI 45,17,7,John Skelton pass complete short left to Andre Roberts for 21 yards (tackle by Usama Young),1.160,3.310
4,10:29,1,10,CLE 34,17,7,John Skelton pass complete short right to Early Doucet for 20 yards (tackle by Dimitri Patterson),3.310,4.650
4,9:45,1,10,CLE 14,17,7,John Skelton pass complete short right to LaRod Stephens-Howling for 7 yards (tackle by Joe Haden),4.650,5.280
4,,2,3,CLE 7,17,7,"John Skelton up the middle for 4 yards (tackle by Phil Taylor). Penalty on Jabaal Sheard: Defensive Holding, 2 yards",5.280,6.970
4,8:42,1,1,CLE 1,17,7,John Skelton pass incomplete short right intended for Larry Fitzgerald,6.970,5.910
4,8:42,2,1,CLE 1,17,13,"Chris Wells left tackle for 1 yard, touchdown",5.910,7.000
4,,,,CLE 2,17,14,Jay Feely kicks extra point good,0.000,0.000
4,,,,ARI 35,17,14,"Jay Feely kicks off 71 yards, returned by Josh Cribbs for 25 yards (tackle by Early Doucet)",0.000,0.150
4,8:27,1,10,CLE 19,17,14,Peyton Hillis left tackle for -1 yards (tackle by Paris Lenon and David Carter),0.150,-0.560
4,7:48,2,11,CLE 18,17,14,Seneca Wallace sacked by O'Brien Schofield for -4 yards,-0.560,-1.920
4,7:06,3,15,CLE 14,17,14,"Seneca Wallace sacked by O'Brien Schofield for -9 yards. Seneca Wallace fumbles (forced by O'Brien Schofield), recovered by Calais Campbell at CLE-5",-1.920,-6.060
,,,,,,,"ARI challenged the runner was down by contact ruling, and the original play was overturned.",,
4,7:00,1,5,CLE 5,17,14,John Skelton sacked by Jabaal Sheard for -6 yards,6.060,4.020
4,6:26,2,11,CLE 11,17,14,John Skelton pass incomplete short middle intended for Early Doucet (defended by Dimitri Patterson),4.020,3.120
4,6:21,3,11,CLE 11,17,14,John Skelton pass complete short left to Chester Taylor for -4 yards (tackle by Titus Brown and Chris Gocong),3.120,2.440
4,5:45,4,15,CLE 15,17,17,Jay Feely 33 yard field goal good,2.440,3.000
4,,,,ARI 35,17,17,"Jay Feely kicks off 70 yards, returned by Buster Skrine for 37 yards (tackle by Richard Marshall). Penalty on Carlton Mitchell: Offensive Holding, 10 yards",0.000,-0.060
4,5:31,1,10,CLE 17,17,17,Seneca Wallace pass incomplete short right intended for Alex Smith,-0.060,-0.580
4,5:27,2,10,CLE 17,17,17,Seneca Wallace pass complete deep left to Greg Little for 31 yards (tackle by Sam Acho),-0.580,2.130
4,4:52,1,10,CLE 48,17,17,Peyton Hillis left tackle for 6 yards (tackle by Paris Lenon and Daryl Washington),2.130,2.390
4,4:09,2,4,ARI 46,17,17,Peyton Hillis right tackle for -1 yards (tackle by David Carter),2.390,1.550
4,3:27,3,5,ARI 47,17,17,Seneca Wallace pass incomplete short left intended for Greg Little,1.550,0.130
4,3:23,4,5,ARI 47,17,17,Brad Maynard punts 36 yards,0.130,0.370
4,3:16,1,10,ARI 11,17,17,"John Skelton pass incomplete deep left intended for Larry Fitzgerald. Penalty on Joe Haden: Defensive Pass Interference, 16 yards (no play)",-0.370,0.740
4,3:11,1,10,ARI 27,17,17,John Skelton pass complete short left to Todd Heap for 12 yards (tackle by Usama Young),0.740,1.530
4,2:36,1,10,ARI 39,17,17,John Skelton pass incomplete short right intended for Andre Roberts,1.530,0.990
4,2:34,2,10,ARI 39,17,17,John Skelton pass complete short left to Todd Heap for 9 yards (tackle by Eric Hagg),0.990,1.490
4,2:00,3,1,ARI 48,17,17,LaRod Stephens-Howling right tackle for 2 yards (tackle by D'Qwell Jackson),1.490,2.260
4,1:34,1,10,,17,17,John Skelton pass complete short left to Andre Roberts for 8 yards (tackle by Sheldon Brown),2.260,2.790
4,1:28,2,2,CLE 42,17,17,John Skelton pass incomplete deep left intended for Early Doucet,2.790,2.080
4,1:22,3,2,CLE 42,17,17,John Skelton pass incomplete short middle intended for Early Doucet,2.080,0.460
4,1:17,4,2,CLE 42,17,17,"Dave Zastudil punts 33 yards, fair catch by Josh Cribbs",0.460,0.380
4,1:10,1,10,CLE 9,17,17,Peyton Hillis up the middle for 2 yards (tackle by Calais Campbell and Adrian Wilson),-0.380,-0.630
4,1:03,,,,17,17,Timeout #1 by Arizona Cardinals,0.000,-0.630
4,1:03,2,8,CLE 11,17,17,Peyton Hillis up the middle for 4 yards (tackle by Nick Eason),-0.630,-0.720
4,0:57,,,,17,17,Timeout #2 by Arizona Cardinals,0.000,-0.720
4,0:57,3,4,CLE 15,17,17,Seneca Wallace pass incomplete short right intended for Alex Smith,-0.720,-2.440
4,0:52,4,4,CLE 15,17,17,"Brad Maynard punts 55 yards, returned by Patrick Peterson for no gain",-2.440,-0.940
4,0:43,1,10,ARI 30,17,17,John Skelton pass complete short right to Andre Roberts for 9 yards (tackle by Sheldon Brown),0.940,1.610
4,0:23,2,1,ARI 39,17,17,John Skelton pass incomplete deep right intended for Andre Roberts (defended by Mike Adams),1.610,0.890
4,0:16,3,1,ARI 39,17,17,John Skelton pass incomplete deep left intended for Larry Fitzgerald,0.890,-0.780
4,0:09,4,1,ARI 39,17,17,Dave Zastudil punts 42 yards,-0.780,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
,,,,,,,"Browns won the coin toss, Browns to receive the overtime kickoff.",,
OT,,,,ARI 35,17,17,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
OT,15:00,1,10,CLE 20,17,17,Seneca Wallace pass incomplete deep left intended for Greg Little (defended by Adrian Wilson),0.280,-0.270
OT,14:54,2,10,CLE 20,17,17,"Penalty on Tony Pashos: False Start, 5 yards (no play)",-0.270,-1.070
OT,14:53,2,15,CLE 15,17,17,Seneca Wallace for 15 yards (tackle by Rashad Johnson),-1.070,0.940
OT,14:28,1,10,CLE 30,17,17,Peyton Hillis left tackle for 2 yards (tackle by Daryl Washington),0.940,0.660
OT,13:45,2,8,CLE 32,17,17,Seneca Wallace pass complete short left to Greg Little for 2 yards (tackle by Adrian Wilson),0.660,0.230
OT,13:10,3,6,CLE 34,17,17,Seneca Wallace pass incomplete deep right intended for Mohamed Massaquoi,0.230,-1.110
OT,13:00,4,6,CLE 34,17,17,"Brad Maynard punts 38 yards, returned by Patrick Peterson for 32 yards (tackle by Quinton Spears)",-1.110,-2.920
OT,12:42,1,10,CLE 40,17,17,Chris Wells left end for 6 yards (tackle by Ahtyba Rubin),2.920,3.180
