Unnamed: 0,SDG,KAN
First Downs,24,26
Rush-Yds-TDs,27-104-2,18-114-2
Cmp-Att-Yd-TD-INT,27-39-392-3-0,26-38-294-3-1
Sacked-Yards,1-5,3-13
Net Pass Yards,387,281
Total Yards,491,395
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,9-97,7-62
Third Down Conv.,7-15,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,30:57,29:03
