Quarter,Time,Tm,Detail,SDG,KAN
1.0,6:11,Chargers,Nick Novak 30 yard field goal,3,0
,1:37,Chiefs,Donnie Avery 32 yard pass from Alex Smith (Ryan Succop kick),3,7
2.0,3:03,Chiefs,Jamaal Charles 7 yard rush (Ryan Succop kick),3,14
,0:16,Chargers,Danny Woodhead 11 yard pass from Philip Rivers (Nick Novak kick),10,14
3.0,12:17,Chargers,Ryan Mathews 1 yard rush (Nick Novak kick),17,14
,9:00,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),17,21
,5:27,Chargers,Danny Woodhead 3 yard rush (Nick Novak kick),24,21
,2:12,Chiefs,Anthony Fasano 4 yard pass from Alex Smith (Ryan Succop kick),24,28
4.0,12:31,Chargers,Nick Novak 30 yard field goal,27,28
,9:32,Chiefs,Ryan Succop 25 yard field goal,27,31
,7:50,Chargers,Ladarius Green 60 yard pass from Philip Rivers (Nick Novak kick),34,31
,1:22,Chiefs,Dwayne Bowe 5 yard pass from Alex Smith (Ryan Succop kick),34,38
,0:24,Chargers,Seyi Ajirotutu 26 yard pass from Philip Rivers (Nick Novak kick),41,38
