#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,KAN 18,3,2:14,18,Punt
2,1,11:01,KAN 12,3,1:32,-4,Punt
3,1,6:11,KAN 26,8,4:34,74,Touchdown
4,2,10:33,KAN 6,7,4:10,34,Punt
5,2,4:29,SDG 46,3,1:26,46,Touchdown
6,2,0:16,KAN 23,1,0:16,-1,End of Half
7,3,12:17,KAN 15,7,3:17,85,Touchdown
8,3,6:27,KAN 12,3,0:18,0,Interception
9,3,5:27,KAN 36,7,3:15,64,Touchdown
10,4,12:31,KAN 36,6,2:59,57,Field Goal
11,4,7:50,KAN 36,3,2:09,0,Punt
12,4,3:51,KAN 45,6,2:29,55,Touchdown
13,4,0:24,KAN 28,3,0:24,10,Fumble
