Unnamed: 0,SFO,PHI
First Downs,22,23
Rush-Yds-TDs,25-164-1,20-108-0
Cmp-Att-Yd-TD-INT,21-33-291-2-0,30-46-416-2-1
Sacked-Yards,3-13,2-11
Net Pass Yards,278,405
Total Yards,442,513
Fumbles-Lost,2-1,2-2
Turnovers,1,3
Penalties-Yards,5-40,5-55
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:52,31:08
