Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,PHI 20,0,0,Michael Vick pass incomplete deep right intended for DeSean Jackson,0.280,-0.270
1,14:51,2,10,PHI 20,0,0,Michael Vick up the middle for 8 yards (tackle by Patrick Willis),-0.270,0.100
1,14:10,3,2,PHI 28,0,0,Michael Vick pass complete short left to LeSean McCoy for -2 yards (tackle by Navorro Bowman),0.100,-1.630
1,13:41,4,4,PHI 26,0,0,"Chas Henry punts 45 yards, returned by Ted Ginn Jr. for 8 yards (tackle by Jason Avant). Penalty on Bruce Miller: Offensive Holding, 10 yards",-1.630,-0.150
1,13:30,1,10,SFO 19,0,0,Kendall Hunter left end for 7 yards (tackle by Jarrad Page and Nnamdi Asomugha),0.150,0.610
1,12:56,2,3,SFO 26,0,0,"Alex Smith pass incomplete short right intended for Delanie Walker. Penalty on Anthony Davis: Tripping, 10 yards (no play)",0.610,-0.870
,,,,,,,"SFO challenged the pass completion ruling, and the original play was overturned.",,
1,12:54,2,13,SFO 16,0,0,Alex Smith pass complete short middle to Kendall Hunter for 18 yards (tackle by Brian Rolle),-0.870,1.200
1,12:21,1,10,SFO 34,0,0,Frank Gore up the middle for 40 yards (tackle by Nnamdi Asomugha),1.200,3.840
1,11:39,1,10,PHI 26,0,0,Alex Smith pass incomplete short middle intended for Kendall Hunter,3.840,3.300
1,11:35,2,10,PHI 26,0,0,Alex Smith pass incomplete short right intended for Kendall Hunter,3.300,2.610
1,11:30,3,10,PHI 26,0,0,Alex Smith pass incomplete short left intended for Michael Crabtree (defended by Brian Rolle),2.610,1.740
1,11:26,4,10,PHI 26,0,0,David Akers 44 yard field goal no good,1.740,-1.200
1,11:21,1,10,PHI 34,0,0,Michael Vick pass complete short left to Jason Avant for 9 yards (tackle by Patrick Willis),1.200,1.870
1,10:59,2,1,PHI 43,0,0,LeSean McCoy up the middle for 5 yards (tackle by Justin Smith),1.870,2.130
1,10:28,1,10,PHI 48,0,0,Michael Vick pass incomplete deep middle intended for DeSean Jackson is intercepted by Carlos Rogers at SFO-14 and returned for 27 yards (tackle by Jeremy Maclin),2.130,-1.660
1,10:14,1,10,SFO 41,0,0,Kendall Hunter right guard for 2 yards (tackle by Cullen Jenkins),1.660,1.390
1,9:37,2,8,SFO 43,0,0,Kendall Hunter left end for -4 yards (tackle by Jamar Chaney),1.390,0.170
1,8:50,3,12,SFO 39,0,0,"Penalty on Joe Staley: False Start, 5 yards (no play)",0.170,-0.490
1,8:19,,,,0,0,Timeout #1 by San Francisco 49ers,0.000,-0.490
1,8:19,3,17,SFO 34,0,0,Frank Gore up the middle for 5 yards (tackle by Trevor Laws),-0.490,-0.780
1,7:43,4,12,SFO 39,0,0,Andy Lee punts 37 yards,-0.780,-0.540
1,7:36,1,10,PHI 24,0,0,Michael Vick pass complete short left to Owen Schmitt for 11 yards (tackle by Dashon Goldson),0.540,1.270
1,6:53,1,10,PHI 35,0,0,Michael Vick pass complete short middle to Jeremy Maclin for 19 yards (tackle by Dashon Goldson),1.270,2.520
1,6:14,1,10,SFO 46,0,0,Michael Vick pass complete short right to Clay Harbor for 12 yards (tackle by Dashon Goldson),2.520,3.310
1,5:35,1,10,SFO 34,0,0,LeSean McCoy left end for 3 yards (tackle by Aldon Smith),3.310,3.180
1,4:59,2,7,SFO 31,0,0,Ronnie Brown left end for 15 yards (tackle by Dashon Goldson),3.180,4.510
1,4:17,1,10,SFO 16,0,6,"Michael Vick pass complete deep right to Clay Harbor for 16 yards, touchdown",4.510,7.000
1,,,,SFO 2,0,7,Alex Henery kicks extra point good,0.000,0.000
1,,,,PHI 35,0,7,"Alex Henery kicks off 65 yards, returned by Ted Ginn Jr. for 24 yards (tackle by Colt Anderson)",0.000,0.540
1,4:03,1,10,SFO 24,0,7,Alex Smith pass complete short right to Michael Crabtree for 11 yards (tackle by Asante Samuel),0.540,1.270
1,3:27,1,10,SFO 35,0,7,Alex Smith pass complete short left to Delanie Walker for 5 yards (tackle by Jarrad Page),1.270,1.400
1,2:46,2,5,SFO 40,0,7,Frank Gore up the middle for 2 yards (tackle by Moise Fokou),1.400,0.960
1,2:06,3,3,SFO 42,0,7,Alex Smith pass complete short right to Michael Crabtree for 14 yards (tackle by Asante Samuel),0.960,2.650
1,1:24,1,10,PHI 44,0,7,Alex Smith pass complete deep left to Vernon Davis for 26 yards (tackle by Jarrad Page),2.650,4.370
1,0:44,1,10,PHI 18,0,7,Frank Gore up the middle for 2 yards (tackle by Mike Patterson),4.370,4.090
1,0:05,2,8,PHI 16,0,7,Alex Smith pass incomplete deep middle intended for Ted Ginn Jr.,4.090,3.300
Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,PHI 16,0,7,Alex Smith sacked by Jason Babin for -3 yards,3.300,2.180
2,14:26,4,11,PHI 19,3,7,David Akers 37 yard field goal good,2.180,3.000
2,,,,SFO 35,3,7,"David Akers kicks off 64 yards, returned by Dion Lewis for 19 yards (tackle by Bruce Miller)",0.000,0.280
2,14:17,1,10,PHI 20,3,7,Michael Vick pass complete deep left to DeSean Jackson for 45 yards (tackle by Madieu Williams),0.280,3.250
2,13:32,1,10,SFO 35,3,7,Michael Vick for 14 yards (tackle by Dashon Goldson),3.250,4.170
2,13:11,1,10,SFO 21,3,7,Michael Vick pass incomplete deep left intended for Jeremy Maclin,4.170,3.630
