Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Nick Boyle,BAL,1,14,14.0,0,14,0,0,,0,0
Devin Duvernay,BAL,1,6,6.0,0,6,0,0,,0,0
Patrick Ricard,BAL,1,15,15.0,0,15,0,0,,0,0
