Quarter,Time,Tm,Detail,BAL,JAX
1.0,9:23,Ravens,Justin Tucker 27 yard field goal,3,0
,2:03,Ravens,Justin Tucker 29 yard field goal,6,0
2.0,9:57,Jaguars,Jamycal Hasty 28 yard pass from Trevor Lawrence (Riley Patterson kick),6,7
,4:51,Ravens,Justin Tucker 55 yard field goal,9,7
,0:09,Jaguars,Riley Patterson 22 yard field goal,9,10
3.0,7:51,Ravens,Justin Tucker 24 yard field goal,12,10
4.0,13:07,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),19,10
,5:55,Jaguars,Jamal Agnew 1 yard pass from Trevor Lawrence (Riley Patterson kick),19,17
,4:19,Jaguars,Riley Patterson 29 yard field goal,19,20
,2:02,Ravens,Josh Oliver 12 yard pass from Lamar Jackson (Mark Andrews pass from Lamar Jackson),27,20
,0:14,Jaguars,Marvin Jones 10 yard pass from Trevor Lawrence (Zay Jones pass from Trevor Lawrence),27,28
