Unnamed: 0,PIT,TEN
First Downs,7,14
Rush-Yds-TDs,33-106-0,22-46-0
Cmp-Att-Yd-TD-INT,9-17-43-0-0,24-35-215-1-3
Sacked-Yards,4-22,4-23
Net Pass Yards,21,192
Total Yards,127,238
Fumbles-Lost,4-1,7-4
Turnovers,1,7
Penalties-Yards,5-35,11-72
Third Down Conv.,2-15,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,33:40,26:20
