Unnamed: 0,GNB,SFO
First Downs,20,19
Rush-Yds-TDs,28-136-0,24-111-2
Cmp-Att-Yd-TD-INT,21-34-194-2-2,23-39-252-1-0
Sacked-Yards,0-0,1-7
Net Pass Yards,194,245
Total Yards,330,356
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,1-5,6-83
Third Down Conv.,7-13,10-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:19,29:41
