Quarter,Time,Tm,Detail,GNB,SFO
1.0,7:22,Packers,Anders Carlson 29 yard field goal,3,0
2.0,8:42,49ers,George Kittle 32 yard pass from Brock Purdy (Jake Moody kick),3,7
,4:09,Packers,Anders Carlson 29 yard field goal,6,7
3.0,9:27,Packers,Bo Melton 19 yard pass from Jordan Love (Anders Carlson kick),13,7
,7:39,49ers,Christian McCaffrey 39 yard rush (Jake Moody kick),13,14
,5:23,Packers,Tucker Kraft 2 yard pass from Jordan Love (Aaron Jones pass from Jordan Love),21,14
4.0,14:56,49ers,Jake Moody 52 yard field goal,21,17
,1:07,49ers,Christian McCaffrey 6 yard rush (Jake Moody kick),21,24
