Quarter,Time,Tm,Detail,DET,IND
1.0,7:38,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),0,7
,4:45,Lions,Jason Hanson 51 yard field goal,3,7
2.0,5:29,Colts,Chad Simpson 2 yard rush (Adam Vinatieri kick),3,14
,3:36,Lions,Calvin Johnson 33 yard pass from Dan Orlovsky (Jason Hanson kick),10,14
,0:47,Colts,Dallas Clark 3 yard pass from Peyton Manning (Adam Vinatieri kick),10,21
3.0,10:00,Lions,Jason Hanson 30 yard field goal,13,21
4.0,12:52,Lions,Kevin Smith 1 yard rush (Casey Fitzsimmons pass from Dan Orlovsky),21,21
,8:39,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),21,28
,0:39,Colts,Adam Vinatieri 31 yard field goal,21,31
