Quarter,Time,Tm,Detail,IND,TEN
1.0,2:04,Colts,Javarris James 1 yard rush (Adam Vinatieri kick),7,0
2.0,10:17,Colts,Pierre Garcon 1 yard pass from Peyton Manning (Adam Vinatieri kick),14,0
,2:25,Colts,Pierre Garcon 19 yard pass from Peyton Manning (Adam Vinatieri kick),21,0
,0:49,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),21,7
3.0,11:09,Titans,Craig Stevens 7 yard pass from Kerry Collins (Rob Bironas kick),21,14
,7:22,Colts,Adam Vinatieri 21 yard field goal,24,14
4.0,12:55,Colts,Adam Vinatieri 28 yard field goal,27,14
,7:59,Titans,Bo Scaife 4 yard pass from Kerry Collins (Rob Bironas kick),27,21
,2:55,Colts,Adam Vinatieri 47 yard field goal,30,21
,0:00,Titans,Bo Scaife 2 yard pass from Kerry Collins (Rob Bironas kick),30,28
