Unnamed: 0,IND,TEN
First Downs,21,22
Rush-Yds-TDs,32-87-1,25-121-1
Cmp-Att-Yd-TD-INT,25-35-319-2-0,28-39-244-3-0
Sacked-Yards,1-7,0-0
Net Pass Yards,312,244
Total Yards,399,365
Fumbles-Lost,1-0,3-2
Turnovers,0,2
Penalties-Yards,7-60,5-29
Third Down Conv.,8-15,5-11
Fourth Down Conv.,1-1,1-2
Time of Possession,32:31,27:29
