Unnamed: 0,HOU,IND
First Downs,15,20
Rush-Yds-TDs,27-85-1,36-146-1
Cmp-Att-Yd-TD-INT,14-24-137-0-1,15-25-114-1-0
Sacked-Yards,2-13,1-10
Net Pass Yards,124,104
Total Yards,209,250
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-34,4-20
Third Down Conv.,5-11,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:47,31:13
